"","origLine","wordNoToTest","nMin4Word","nMin3Word","nMin2Word","nMin1Word","testWord","prediction1","prediction2","prediction3","timeToPredict","Correct"
"101","hahahahhahah u just made my day :D",6,"u","just","made","my","day","day","my","is",0.0100000000002183,TRUE
"102","I can hear ""High and Dry"" through the walls. Amazing.",3,NA,NA,"i","can","hear","know","am","love",0.0199999999999818,FALSE
"103","RT : **IMPORTANT** Our new hashtag is #SNTCK please tweet your #specialneeds resources and writings with us to share",9,"new","hashtag","is","sntck","please","a","the","your",0.00999999999976353,FALSE
"104","Proud to have voted twice for the SAG-AFTRA merger. Have you voted yet?",2,NA,NA,NA,"proud","to","of","to","you",0,TRUE
"105","this conference is rockin'",3,NA,NA,"this","conference","is","week","is","year",0.0199999999999818,TRUE
"106","Pretty sure that was a broken leg.",3,NA,NA,"pretty","sure","that","great","simple","myself",0.0100000000002183,FALSE
"107","Keith was also good a smoking in the dugout and being a class a jerk. I grew up a Mets fan..sorry to admit",6,"was","also","good","a","smoking","of","lot","great",0.0199999999999818,FALSE
"108","She's calling you back - is having a moment ;)",7,"you","back","","is","having","a","the","your",0,FALSE
"109","Reward yourself for just getting up in the morning. It's a wonderful accomplishment!",8,"just","getting","up","in","the","the","my","a",0.0300000000002001,TRUE
"110","Big ups to for leaving voicemails that Google can accurately transcribe.",11,"that","google","can","accurately","transcribe","i","be","u",0.0199999999999818,FALSE
"111","#GET BETTER",2,NA,NA,NA,"get","better","to","it","off",0,FALSE
"112","Everyone say a prayer for my brother who is at Wrigley field with his wife and kids. She and her daughters are in Cardinals jerseys.",3,NA,NA,"everyone","say","a","a","something","welcome",0.00999999999976353,TRUE
"113","Why you actin like that towards me now",8,"like","that","towards","me","now","to","up","a",0.0199999999999818,FALSE
"114","Have a great evening/afternoon/whatever it is where you are, folks!",7,"great","eveningafternoonwhatever","it","is","where","a","the","was",0.0100000000002183,FALSE
"115","experience of a life time!",3,NA,NA,"experience","of","a","the","you","your",0.0199999999999818,FALSE
"116","Hey how did you like Dogtooth? I watched like six months ago but don't know anyone else who saw it.",3,NA,NA,"hey","how","did","you","much","are",0,FALSE
"117","The average gossip and complain. The exceptional create and inspire. #leadership RT",3,NA,NA,"the","average","gossip","of","best","and",0,FALSE
"118","#OneThingYouShouldntDo Spam someone to DEATH! it's like stalking them ... Like really?!",6,"spam","someone","to","death","it's","be","the","see",0.0199999999999818,FALSE
"119","me too",2,NA,NA,NA,"me","too","to","up","a",0,FALSE
"120","Buffalo we do appreciate you following Poised Creation on Twitter!! :)",2,NA,NA,NA,"buffalo","we",NA,NA,NA,NA,FALSE
"121","I promise you can go ten minutes without hanging on his arm.",5,"i","promise","you","can","go","can","are","to",0.0100000000002183,FALSE
"122","Snap backs and tattoos",3,NA,NA,"snap","backs","and",NA,NA,NA,NA,FALSE
"123","Fallout from the original, actually",2,NA,NA,NA,"fallout","from",NA,NA,NA,NA,FALSE
"124","who is your favorite tv mom?",4,NA,"who","is","your","favorite","a","the","to",0.0199999999999818,FALSE
"125","Hey Giants fans. How ya feeling tonight. Boy, do you look dumb in that stupid panda hat.",17,"in","that","stupid","panda","hat","the","i","hat",0.00999999999976353,TRUE
"126","out of twitter jail i see.",3,NA,NA,"out","of","twitter","the","you","your",0.0199999999999818,FALSE
"127","IT PUTS THE WOO IN MY WOO!",3,NA,NA,"it","puts","the","was","out","be",0,FALSE
"128","People can keep talking/Thy can say what thy like/I dont worry cause everythings goin' be alright/No one get n way I feeling 4 (JESUS)",16,"cause","everythings","goin'","be","alrightno","in","the","to",0.0100000000002183,FALSE
"129","Drawn Dead will be at the Wynn today giving out free shirts!",12,"today","giving","out","free","shirts","of","on","the",0.0199999999999818,FALSE
"130","the fact that i added an extra ""d"" on the end of ""just"" amplifies its greatness that much more. Oy vey.",12,"d","on","the","end","of","of","and","the",0.0199999999999818,TRUE
"131","Hmm, I got hacked--do not open that link in the DM that was sent from my account. Sorry!! Yikes.",10,"open","that","link","in","the","the","my","a",0.0100000000002183,TRUE
"132","dont break my butt",2,NA,NA,NA,"dont","break","care","regret","i",0.0199999999999818,FALSE
"133","you're welcome(:",2,NA,NA,NA,"you're","welcome","in","just","still",0.00999999999976353,FALSE
"134","O.. intrigued by ! We're in negotiations for building our new website...",2,NA,NA,NA,"o","intrigued","m","intrigued","by",0,TRUE
"135","So what do you do in OKC?",6,"what","do","you","do","in","you","u","are",0.0199999999999818,FALSE
"136","the fact that lives on an island makes me wanna shoot myself because i need to see her at least every other day to feel sane.",9,"on","an","island","makes","me","me","the","it",0.0100000000002183,TRUE
"137","Players were Tebowing before Sat NFL Astroturf Collegiate Bowl. Praying in the end zone before the game and Tebowing a great stite",10,"nfl","astroturf","collegiate","bowl","praying","praying","bowl","astroturf",0.0299999999997453,TRUE
"138","Yes they can :)",3,NA,NA,"yes","they","can","have","don't","belong",0,FALSE
"139","Hahahahaha, I love it. Thanks for the quick birthday lesson :)",5,"hahahahaha","i","love","it","thanks","was","out","be",0.0199999999999818,FALSE
"140","; Im Almost Up To Youu!",5,"","im","almost","up","to","the","on","a",0.0199999999999818,FALSE
"141","Tonight should be fun ;)",3,NA,NA,"tonight","should","be","a","have","be",0.0100000000002183,TRUE
"142","I spy at Zeitgeist Coffee :)",3,NA,NA,"i","spy","at","know","am","love",0.0199999999999818,FALSE
"143","Thanks for the retweet!",2,NA,NA,NA,"thanks","for","for","the","to",0.00999999999976353,TRUE
"144","“: be quiet poo balls.” I'm writing this on my wall",10,"i'm","writing","this","on","my","the","my","a",0.0199999999999818,TRUE
"145","Sarkozy? More like Sark-oh-no-he-didn'tzy, am I right?",3,NA,NA,"sarkozy","more","like","than","on","some",0.0100000000002183,FALSE
"146","going through #RNRCHI bag & wondering if people *actually* pay $60 to do the ""ready to run"" 20 mile training run.",3,NA,NA,"going","through","rnrchi","to","the","an",0,FALSE
"147","That's game we lost I can't hate on the Heat Good Game",11,"hate","on","the","heat","good","of","the","best",0.0199999999999818,FALSE
"148","The #Marlins wish they had 5000 in attendance tonight...",7,"wish","they","had","","in","a","the","i",0.0199999999999818,FALSE
"149","#9 for Nelson!",3,NA,NA,"","for","nelson","the","a","me",0.0100000000002183,FALSE
"150","Tweetin while I walk. Check my walkin soundtrack!",7,"i","walk","check","my","walkin","day","out","is",0.0199999999999818,FALSE
"151","are you visiting again?! 'cause that would be awesome!",2,NA,NA,NA,"are","you","you","the","out",0.00999999999976353,TRUE
"152","no it's the interview he told us about in class member?",6,"it's","the","interview","he","told","of","is","best",0.0199999999999818,FALSE
"153","Who has the bigger stick?",4,NA,"who","has","the","bigger","of","best","and",0.0100000000002183,FALSE
"154","These late night walks are still religion to me. Thank goodness for these.",11,"religion","to","me","thank","goodness","you","be","to",0.0199999999999818,FALSE
"155","Is that a rhetorical question?",2,NA,NA,NA,"is","that","a","the","your",0,FALSE
"156","I want a new phone case. Preferably a sparkly one.",6,"want","a","new","phone","case","of","lot","great",0.0299999999997453,FALSE
"157","Everybody in the class is laughing at this part and I had no idea what was said :p",16,"had","no","idea","what","was","you","i","do",0.0199999999999818,FALSE
"158","Bestfriend just got hit on my a 30 something year old",8,"hit","on","my","a","","of","lot","great",0.0100000000002183,FALSE
"159","thanks for the follow... Your Gorgeous btw! ;)",3,NA,NA,"thanks","for","the","the","a","for",0,TRUE
"160","oh boo :( and here I was promoting what I thought it would be to a friend yesterday! Let me know if the cobbler needs help ;)",20,"a","friend","yesterday","let","me","me","know","it",0.0299999999997453,TRUE
"161","""Collaboration addresses complex problems more effectively because there are more perspectives in the room""-Gary Mangiofico",9,"more","effectively","because","there","are","is","so","was",0,FALSE
"162","cinco de mayo fiesta at la carreta is packed!",3,NA,NA,"cinco","de","mayo",NA,NA,NA,NA,FALSE
"163","Dallas slapped me on my red as cherries sunburn, and im still crying aftr 10 mins., i hate him.",3,NA,NA,"dallas","slapped","me","me","slapped","on",0,TRUE
"164","is that kind of place. Like in DC. Ladybugs lurv it.",9,"place","like","in","dc","ladybugs","the","a","my",0.0100000000002183,FALSE
"165","#Well Done 2",2,NA,NA,NA,"well","done","i","do","there",0.0199999999999818,FALSE
"166","I was born 2 weeks early? Haha",2,NA,NA,NA,"i","was","know","am","love",0,FALSE
"167","cant wait till",2,NA,NA,NA,"cant","wait","accept","your",NA,0.0199999999999818,FALSE
"168","you are gorgeous, em!",4,NA,"you","are","gorgeous","em","you","the","are",0.0100000000002183,FALSE
"169","That’s what I thought, just wanted to check before I rework it.",4,NA,"thats","what","i","thought","know","am","love",0.0199999999999818,FALSE
"170","adele gets off a standing ovation right away?",3,NA,NA,"adele","gets","off","off","a","gets",0,TRUE
"171","Keep moving, and get out of the way",7,"and","get","out","of","the","the","you","your",0.0199999999999818,TRUE
"172","“: yeah, l could be the bigger person, or you could just shut the fuck up.”",2,NA,NA,NA,"","yeah",NA,NA,NA,NA,FALSE
"173","anything intriguing going over there? Any clues on who the browns draft next?",7,"going","over","there","any","clues","of","one","to",0.0100000000002183,FALSE
"174","Being chauffeured in a brand new Range Rover w/ and Happy Derby day!",10,"new","range","rover","w","and","and","w","a",0.0199999999999818,TRUE
"175","I lost 5 pounds sweating in sparring class today.",9,"sweating","in","sparring","class","today","the","a","my",0.00999999999976353,FALSE
"176","Let peace find a toe hold in this tumultuous world.",3,NA,NA,"let","peace","find","me","of","love",0.0199999999999818,FALSE
"177","Reminder: we play in Dallas tonight at the den. 10p start. See y'all there.",3,NA,NA,"reminder","we","play","need","have","will",0,FALSE
"178","me, too!",2,NA,NA,NA,"me","too","to","up","a",0.0199999999999818,FALSE
"179","And thank everyone of you who has taken the time out of your day to listen to us, your all amazing, much love h2p",13,"the","time","out","of","your","the","you","of",0.0100000000002183,FALSE
"180","in MD MIAA-A Boys Lax action, St Mary's Annapolis goes into Loyola-Blakefield's house and leaves with a victory. 11-8",4,NA,"in","md","miaaa","boys","the","my","a",0,FALSE
"181","#FridayThe13th is the best movie ever....and todays date.",7,"the","best","movie","everand","todays","of","and","best",0.0199999999999818,FALSE
"182","The poor needs relief, and they need it now! Somebody help!",10,"they","need","it","now","somebody","was","out","i'm",0.00999999999976353,FALSE
"183","Okay so apparently it's not new? Sorry for having a life and not listening to music all day long. :)",14,"a","life","and","not","listening","the","i","to",0.0199999999999818,FALSE
"184","Heard PM was in #Broncos training facility all day, even had a 2 Hour",14,"even","had","a","","hour","of","lot","great",0.0300000000002001,FALSE
"185","that is hilarious! We need to do what we can to feel young!!",10,"to","do","what","we","can","you","need","be",0.0199999999999818,FALSE
"186","I had the weirdest dreams last night.",2,NA,NA,NA,"i","had","know","am","love",0,FALSE
"187","scrapbook class. Next up: hinged reattachment of enclosures w/ wheat paste and Japanese tissue! It's like I'm at nerd camp.",9,"hinged","reattachment","of","enclosures","w","the","you","your",0.0100000000002183,FALSE
"188","If your girlfriends parents pay her cell phone bill...",4,NA,"if","your","girlfriends","parents","to","you","heart",0.0199999999999818,FALSE
"189","thanks... I'll definitely be using some Edmundson",3,NA,NA,"thanks","i'll","definitely","for","the","be",0.00999999999976353,FALSE
"190","This Little Girl by Cady Groves..... I <3 it! Look it up :)",8,"by","cady","groves","i","","know","am","love",0.0199999999999818,FALSE
"191","YourKoz Games+Find out who this is-$2.00+She concentrates on the calibre and quality of education for Jordanian children & global education",19,"for","jordanian","children","","global","the","a","me",0,FALSE
"192","can u please RT or follow? i'm one of your biggest fans :)",9,"or","follow","i'm","one","of","of","is","the",0.0100000000002183,TRUE
"193","The tea party movement filled the gap in republican party on intolerance for overspending.",11,"gap","in","republican","party","on","the","my","on",0.0199999999999818,TRUE
"194","Flores says vocational training is ""his backyard."" Admiration for police, nurses.",9,"is","his","backyard","admiration","for","for","a","the",0.00999999999976353,TRUE
"195","In Krav Maga there are no rules, no restrictions",4,NA,"in","krav","maga","there","the","my","a",0.0199999999999818,FALSE
"196","Thank you! I'm proud of us all!",3,NA,NA,"thank","you","i'm","are","to","can",0.0199999999999818,FALSE
"197","I love you brianana",4,NA,"i","love","you","brianana","are","to","can",0,FALSE
"198","""As for me and my house, we will serve the Lord."" And we will embrace our LGBT brothers and sisters.",8,"and","my","house","we","will","will","need","have",0.0300000000002001,TRUE
"199","im following u so u cant welch lol",7,"u","so","u","cant","welch","i","get","ever",0.00999999999976353,FALSE
"200","Plan on being a DJ (:",4,NA,"plan","on","being","a","the","my","a",0.0199999999999818,TRUE
"201","I actually saw a police officer on horseback galloping through downtown.",8,"a","police","officer","on","horseback","the","my","a",0.0100000000002183,FALSE
"202","8th grade was so great though! & we all said we'd all stay close! We should all get together ASAP.",14,"said","we'd","all","stay","close","the","in","of",0.0199999999999818,FALSE
"203","so? It's not the same.",5,"so","it's","not","the","same","of","best","and",0.0199999999999818,FALSE
"204","got that vol. 1 return of the bodysnatchers bumpin. Perfect for the gym! I'm going I'n right now!!",17,"gym","i'm","going","i'n","right","to","of","proud",0.0100000000002183,FALSE
"205","is our new Twitter pg. Follow 4 exciting deals, ATX challenges, & insights on #fashion, epicurean, entertainment & the arts",11,"","exciting","deals","atx","challenges","challenges","atx","deals",0.0199999999999818,TRUE
"206","Daddy got a new truck(:",5,"daddy","got","a","new","truck","of","lot","great",0.00999999999976353,FALSE
"207","Freakin is FLAWLESS..in every way!",4,NA,"freakin","is","flawlessin","every","a","the","your",0.0199999999999818,FALSE
"208","he's next to go bro",3,NA,NA,"he's","next","to","to","up","week",0.0100000000002183,TRUE
"209","Thanks for finally providing a good night's rest! and I had a great time! Hope your run post beers was good!",5,"thanks","for","finally","providing","a","the","a","for",0.0199999999999818,TRUE
"210","I love my momma :)",2,NA,NA,NA,"i","love","know","am","love",0,TRUE
"211","Hello new followers!",3,NA,NA,"hello","new","followers","website","york","song",0.00999999999976353,FALSE
"212","Not sure! Any recommendations? RT : Hey Chicago! What are you eating at the Taste of Chicago this weekend?",6,"sure","any","recommendations","rt","","i'm","i","you",0,FALSE
"213","Mayoral Candidate Forum on education this Thursday January 21, 6pm at Warren Easton, 3019 Canal street.",3,NA,NA,"mayoral","candidate","forum","forum","candidate","on",0.0199999999999818,TRUE
"214","Ah I miss that place so much! We def need to do another road trip this summer",8,"that","place","so","much","we","much","as","more",0.0199999999999818,FALSE
"215","Join the Maui Mall Shoppers Club at www.mauimall.com. We give away three great prizes monthly, including $100 gift certificate to the mall!",17,"great","prizes","monthly","including","","including","i","talking",0.0300000000002001,FALSE
"216","busy day. I thought called about Film but it was same name dude who is a set medic. #internmistakes!",2,NA,NA,NA,"busy","day","you","don't",NA,0,FALSE
"217","total white cat move",4,NA,"total","white","cat","move","move","cat","white",0.00999999999976353,TRUE
"218","I actually liked Derek Morris as a Ranger.",3,NA,NA,"i","actually","liked","know","am","love",0.0199999999999818,FALSE
"219","Twovsuns massage is now offering couples massage! What a great way to start off your valentines day! Call to schedule today!",18,"off","your","valentines","day","call","to","and","with",0.0100000000002183,FALSE
