"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10","timeToPredict","Correct"
"14","it comes on tonight!! not tomorrow!!","it comes on tonight not",6,"tomorrow","good","tomorrow","im","back","see","music","one","great","love","next",0.0199999999967986,TRUE
"15","Thanks for the #FF! Awfully good company to be in.","thanks for the awfully good company to be",9,"in","in","done","the","more","like","happy","lame","all",NA,NA,0.0100000000020373,TRUE
"16","nice I watched the whole series, LOVED Julia and her mom Erica was such a badass","nice i watched the whole series loved julia and her mom erica was such",15,"a","badass",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,FALSE
"17","William Davis attorney says client will plead insanity. He faces first-degree murder charge in woman's death","william davis attorney says client will plead insanity he faces firstdegree charge in",14,"womans","of",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"18","Weird thought: we got to witness the change of a millenia, the next change is 40 generations away...imagine what the differences will be!!","weird thought we got to",6,"witness","see",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"19","Wit them sexy ass lips","wit them",3,"sexy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"20","Report the many things that are positive about the University of Arkansas athletics program.","report the many things that are positive about the university of",12,"arkansas","day","best","world","night","us","year","yr","most","arkansas",NA,0.0199999999967986,TRUE
"21","Athletes/celebrities should have a tool to charge $.99 per RT request. $ to support foundations/charities, fans get involved.","athletescelebrities should have",4,"a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"22","""...yo chick she so thirst..."" aye!!! I really don't know what else they're saying tho except that lol","yo chick",3,"she","she",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"23",". many things can happen. Only YOU can control your reaction to it. Practice this good","many things",3,"can","can","us","really","work","always","said","lol","s","people","happen",0.0200000000040745,TRUE
"24","""You will allow me to continue to do what I love."" Big Show's wife?","you will allow",4,"me","stay","continue","users",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"25","Not much, Ben - how's you?","not much",3,"ben","better","love","fun","following","im","work","appreciate","got","like","just",0,FALSE
"26","Sleeping? Not likely. RT : Sleeping to","sleeping not likely rt",5,"sleeping","im","just","great","dont","hope","now","follow","rt","new","one",0.0100000000020373,FALSE
"27","Time for lunch!","time for",3,"lunch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"28","RT Congratulations to the for advancing in the #stanleycup Playoffs! They defeated the #Sens in a 4-3 series.","rt congratulations to the for advancing in the playoffs they defeated the in",14,"a","world","morning","next","studio","middle","top","right","nfl","day","woods",0,FALSE
"29","just waking up but #therave last night though>>>>>>","just waking up but last night",7,"though","was",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"30","at six flags.","at",2,"six",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"31","Where my meatballs at? and Naomi :)","where my meatballs",4,"at","naomi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"32","lo mejor! it was cool experiencing work through the eyes of an excited teen","lo mejor it was cool experiencing work through the eyes of an",13,"excited","say","excited","can","u","tonight","ur","exploding","ps","scaryy","staring",0.0100000000020373,TRUE
"33","RT : **IMPORTANT** Our new hashtag is #SNTCK please tweet your #specialneeds resources and writings with us to share","rt important our new",5,"hashtag","website",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"34","this conference is rockin'","this",2,"conference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"35","Everyone say a prayer for my brother who is at Wrigley field with his wife and kids. She and her daughters are in Cardinals jerseys.","everyone say a prayer for my brother who is at wrigley field with his wife and kids she and her",21,"daughters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"36","Why you actin like that towards me now","why",2,"you",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"37","#OneThingYouShouldntDo Spam someone to DEATH! it's like stalking them ... Like really?!","spam someone to death its like stalking them like",10,"really","really","like","going","im","see","us","good","one","boys","clown",0.0199999999967986,TRUE
"38","me too","me",2,"too",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"39","Buffalo we do appreciate you following Poised Creation on Twitter!! :)","buffalo we do appreciate you following poised creation",9,"on","twitter",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,FALSE
"40","Snap backs and tattoos","snap backs and",4,"tattoos","tattoos",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"41","Fallout from the original, actually","fallout from the",4,"original","dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"42","the fact that i added an extra ""d"" on the end of ""just"" amplifies its greatness that much more. Oy vey.","the fact that i added",6,"an","today","extra","fleet","interesting","marco",NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"43","dont break my butt","dont break",3,"my","my",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"44","you're welcome(:","youre",2,"welcome","welcome","sure","still","well","amazing","just","going","gonna","one","excited",0.0100000000020373,TRUE
"45","Yes they can :)","yes they",3,"can",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"46","Thanks for the retweet!","thanks",2,"for","follow","following","much","rt","everyone","retweet","guys","mention","got","great",0.0199999999967986,FALSE
"47","The #Marlins wish they had 5000 in attendance tonight...","the wish they had",5,"in","degrees","just","time","though","good","say","watched","twitter","stop","person",0.0100000000020373,FALSE
"48","are you visiting again?! 'cause that would be awesome!","are you visiting again",5,"cause","cause","jesus","dubrovnik","libraries",NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"49","Everybody in the class is laughing at this part and I had no idea what was said :p","everybody in the class is laughing at this part and",11,"i","new","really","something","secret","hit","highest","idea","meeting","dancing","father",0.0199999999967986,FALSE
"50","thanks for the follow... Your Gorgeous btw! ;)","thanks for the follow your",6,"gorgeous","back","follow","please","us","u","d","friday","ill","get","glad",0.0100000000020373,FALSE
"51","""Collaboration addresses complex problems more effectively because there are more perspectives in the room""-Gary Mangiofico","collaboration addresses complex problems more effectively because there are more",11,"perspectives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"52","Dallas slapped me on my red as cherries sunburn, and im still crying aftr 10 mins., i hate him.","dallas slapped me on my red as",8,"cherries","sox","new","bad","letter","brewed","pen","meat","admiral","bull","carpet",0.0199999999967986,FALSE
"53","I was born 2 weeks early? Haha","i was",3,"born","able","in","just","going","gonna","the","at","very",NA,NA,0,FALSE
"54","cant wait till","cant wait",3,"till","to","for","till",NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"55","you are gorgeous, em!","you are",3,"gorgeous","well","having","like","one","and",NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"56","Keep moving, and get out of the way","keep moving and get out of the",8,"way","day","best","world","night","us","year","yr","most",NA,NA,0.0199999999967986,FALSE
"57","“: yeah, l could be the bigger person, or you could just shut the fuck up.”","“ yeah l could be the bigger person or you could",12,"just","just",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"58","anything intriguing going over there? Any clues on who the browns draft next?","anything intriguing going over there any clues on who the browns draft",13,"next","love","next","pick","far","analytic","cle","pittsburgh",NA,NA,NA,0.0100000000020373,TRUE
"59","Being chauffeured in a brand new Range Rover w/ and Happy Derby day!","being chauffeured in a brand new range rover w and happy",12,"derby","birthday","mothers","new","happy","thanksgiving","joy","hour","friday","easter","holidays",0.0200000000040745,FALSE
"60","me, too!","me",2,"too",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"61","I had the weirdest dreams last night.","i had the weirdest dreams last",7,"night","night","year","nights","day","week","tweet","one","weekend","name","person",0.0199999999967986,TRUE
"62","can u please RT or follow? i'm one of your biggest fans :)","can u please",4,"rt","follow","get","dont","love","help","come","join","know","just","rt",0.0100000000020373,TRUE
"63","In Krav Maga there are no rules, no restrictions","in krav",3,"maga","maga",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"64","Thank you! I'm proud of us all!","thank you",3,"im","for","so","to","rt","we",NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"65","Plan on being a DJ (:","plan",2,"on","now","just","look","along","dj","action","directing",NA,NA,NA,0,FALSE
"66","8th grade was so great though! & we all said we'd all stay close! We should all get together ASAP.","th grade was so great though we all said wed",11,"all","night","put","stay","pm","march",NA,NA,NA,NA,NA,0,FALSE
"67","so? It's not the same.","so",2,"its",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"68","got that vol. 1 return of the bodysnatchers bumpin. Perfect for the gym! I'm going I'n right now!!","got that vol",4,"return","return",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"69","Daddy got a new truck(:","daddy got a",4,"new","new","good",NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"70","Freakin is FLAWLESS..in every way!","freakin",2,"is","hate","flawlessin",NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,FALSE
"71","he's next to go bro","hes next",3,"to","week","year","one","days","show","friday","go","day","time","great",0.0199999999967986,FALSE
"72","Thanks for finally providing a good night's rest! and I had a great time! Hope your run post beers was good!","thanks for finally",4,"providing","get","got","going","home","good","realized","found","ask","gettin","bet",0.0100000000020373,FALSE
"73","I actually liked Derek Morris as a Ranger.","i",2,"actually",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"74","Stellar of to reply. #digiday I find the lack of women in marketing/pr leadership interesting- it's an area of research for me.","stellar of to reply",5,"i","want","find","please","guys","thanks","many","report","intrinsic","thrilled",NA,0.0100000000020373,FALSE
"75","What Is A Life Without A Purpose? What Is A Purpose Without Love?","what is a life without a purpose what",9,"is","great","beautiful","drag","without","life","wonder","purpose","passion",NA,NA,0.0199999999967986,FALSE
"76","Congrats to Patti Groff, CLM on winning the Spirit of ALA Award - a huge honor recognizing leadership and dedication!","congrats to patti groff clm on winning the spirit of ala award a huge honor recognizing leadership",18,"and","position","insight",NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"77","Haha. Works for me sometimes. ;)","haha works",3,"for","great","youre","television","small","sometimes","google","test",NA,NA,NA,0.0199999999967986,FALSE
"78","Send details and I can post.","send details and i can",6,"post","get","see",NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"79","Wearing my 2011 shirt to the #Skrillex show in Indy tonight. Already got a lot of compliments.","wearing my",3,"shirt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"80","Howdy Ali - good to meet you too!","howdy ali good to meet you",7,"too","too",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"81","Fact: Girls have a lot of crushes but their heart only belongs to one guy.","fact girls have a",5,"lot","good","great","beer","lot","chance","fabulous",NA,NA,NA,NA,0.0199999999967986,TRUE
"82","Be the light in the world of darkness","be",2,"the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"83","omg Jesus loves me SO much that sometimes my hair falls out. Then I pick it up and burn it as an offering. It feels so nice.","omg jesus loves me so much that sometimes my hair falls out then i pick it up",18,"and","and",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"84","No you Not!","no",2,"you",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"85","The trip home feels twice as long. Even with good music and junk food. Too bad I don't smoke anymore.","the",2,"trip",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"86","Tryin to stay up for loiter squad","tryin to stay up for loiter",7,"squad","squad",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"87","Hey everyone, please follow one of the best metal drummers ever, Paul Bostaph,","hey everyone please follow one of the best metal drummers ever paul",13,"bostaph","look","quite","b","jones","bostaph","budnitz","duguid","props",NA,NA,0.0100000000020373,TRUE
"88","seriously? I'll have to check it out!","seriously ill have to",5,"check","check",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"89","are you coming to get Donovan","are you coming",4,"to","back","home","soon","get","going","year","dont","days","guys","will",0.0100000000020373,FALSE
"90","OK just asked to have it shipped should have it in the next few days","ok just asked",4,"to","me",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"91","Sometimes ""no syntax error"" doesn't equal finished; it equals actually beginning.","sometimes no syntax error doesnt equal",7,"finished","finished",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"92","Successfully set up Nokia Education Delivery server locally (MacBook Pro) but am at a loss for user guides.","successfully set up nokia education delivery server locally macbook pro",11,"but","players","loss",NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"93","/ That, Alberto, is part of our ""secret sauce"" for the game. They are not aware, as that could bias gameplay.","that alberto is part",5,"of","of",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"94","Teen Wolf Trailer Omg I can't wait till it comes back on!!(:","teen wolf trailer omg",5,"i","love","cant","know","make","yes","u","need","jesus","o","loved",0.0199999999967986,FALSE
"95","U Said ""I Will BE THERE WITH YOU"",But #Wisconsin NEEDS U NOW. GO spend & campaign there","u said i will be there",7,"with","with",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"96","Late night last night.","late",2,"night","night","day","bed","s","last","reply","���","lmao","bus","pp",0,TRUE
"97","okaay (; LOOOOL i still remember our thoughts","okaay looool",3,"i","still",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"98","it's my fault I'm sorry","its my",3,"fault","birthday",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"99","Watched 'Anatomy of a Murder' tonight. Have u seen it? Late-50s courtroom drama that you would surely appreciate.","watched",2,"anatomy","whole","like","rt","cute","current","yesterday","reds","star","anatomy","rhyme",0.0199999999967986,TRUE
"100","Hey shawty, I was thinkin of you (;","hey shawty i was thinkin of",7,"you",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"101","God has so many amazing plans for you :) I can't wait for whats to come and some new music!!","god has so many amazing plans for you i cant wait for whats to",15,"come","going","good","new","better","really","love","favorite","take","point","twitter",0,FALSE
"102","yup-there's all kinds of sneezing & sniffles in my house lately.","yuptheres all",3,"kinds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"103","we're apart at a ray","were apart",3,"at","better","really","ray","texas",NA,NA,NA,NA,NA,NA,0,FALSE
"104","Ok I need a remote starter asap:-(","ok",2,"i","need","just","think","ha","watching","god","hear","ill","fuck","stage",0.0199999999967986,FALSE
"105","Thanks! Still need Help/Suggestions! I had another 6 commitments Saturday from the young youth group.","thanks still need helpsuggestions i had another commitments saturday",10,"from","night","love","young","already","didnt","june","four","bri","partyy",NA,0.0100000000020373,FALSE
"106","I deserve to know it's GMO.","i deserve",3,"to","to",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"107","Started today at 5 with meditation and a double iced espresso. I think I have found the magic morning combo!","started today at with",5,"meditation","going","good","excited","fun","thanks","got","much","want","im","see",0.0199999999967986,FALSE
"108","I'ts your blog and you are well aware of the link. Don't play dumb with me.","its your blog and you are well aware of the",11,"link","day","best","world","night","us","year","yr","most",NA,NA,0.0100000000020373,FALSE
"109","Need to vacuum","need to",3,"vacuum","get","do","see","worry",NA,NA,NA,NA,NA,NA,0,FALSE
"110","If this whole journalism thing doesn't work out, I think I now know what I want my second career to be.","if this whole journalism thing doesnt work out i think i now know what i want my second career",20,"to","really","point","best",NA,NA,NA,NA,NA,NA,NA,0,FALSE
"111","At first I wasn't sure (because I'm vegetarian), but some of their menu does look good; especially the cheeses.","at first",3,"i","time","round","day","ever","even","thing","nights","say","lol","minutes",0.0500000000029104,FALSE
"112","Silverton ""Skip the Strip"" New Year's Eve celebration. $10 wristband all you can drink 9:20-12:30","silverton skip the new years eve celebration wristband all you can",12,"drink","get","go","follow","find","do",NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"113","NBA #FanNight Chris webber my dad likes your glasses! DC13","nba chris webber my dad",6,"likes","hoping","likes","butchers","hilarious",NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"114","I'm digging The Offspring right now.","im digging",3,"the","hole","offspring",NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"115","Thanks for the RT! :)","thanks",2,"for","follow","following","much","rt","everyone","retweet","guys","mention","got","great",0,FALSE
"116","#Spammers I'd like to see the statistic on what spammers cost american small businesses in a dollar amount. They cost me so much...","id like to",4,"see","see",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"117","Cory Booker is on my tv.","cory booker is",4,"on","tv",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"118","If the #2 pencil is so popular then why is it number 2? 😳","if",2,"the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"119","Chasing The Sun is honestly a very very amazing song. IT'S SO ADDICTING, lol.","chasing the sun is honestly",6,"a","going","feel","amazing",NA,NA,NA,NA,NA,NA,NA,0,FALSE
"120","Brandon don't joke like that","brandon dont",3,"joke","know","think","care","want","forget","get","miss","really","feel","worry",0.0199999999967986,FALSE
"121","I thought you were strictly Infrastructure bro? You doing sharepoint dev roles too now?","i thought you",4,"were","might","got","just","following","day","week","thing","good","friend","one",0.0100000000020373,FALSE
"122","no I had the kids. The ex kinda dropped them on me","no i had the kids",6,"the","going","excited","love","will","stay","saying","sports","flight","n","earn",0.0200000000040745,FALSE
"123","Playing with fire again.","playing with fire",4,"again","rt","winner","quick","literally","abs","crackers","island","kill","south",NA,0.0199999999967986,FALSE
"124","awesome! Although a little jealous bout the Jordans! Haha!","awesome although a",4,"little","think","little",NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"125","-OR- ""Moons Over my Hammy"" lol M","or moons",3,"over","hammy",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"126","got the 12th pick,12team league,somebody help me....","got the th pickteam",5,"leaguesomebody","grade","street","happy","th","falls","world","monday","stay","holiday","hes",0.0199999999967986,FALSE
"127","you never know!","you never",3,"know","know","get","thought","give","forget","see","make","done","seen","one",0.0100000000020373,TRUE
"128","I love talking to this kidd","i love talking",4,"to","just","im","bad","point","people","guys","haha","history","non","ideas",0.0199999999967986,FALSE
"129","RIP to the day when Titanic sent more than 1,500 people to a watery grave","rip to the day when titanic sent",8,"more","people","song","account","stuff","video","email","five","yu",NA,NA,0.0100000000020373,FALSE
"130","Lakers would do well to keep drawing fouls on the Thunder bigs.","lakers would do",4,"well","it",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,FALSE
"131","Just finished ""one thousand gifts""....what a read. Just ordered 4 new....hate waiting!","just",2,"finished","got","like","saw","wanted","came","dont","finished","started","gonna","one",0.0199999999967986,TRUE
"132","I just love when my mother forgets to pay my phone bill. Sure hope I don't have a wreck on the way home and have to call 911.","i just love when my mother forgets to pay my phone bill sure hope i dont have a wreck",20,"on","way",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"133","I just swabbed for Janet Liang tonight! And I'm actually home tonight to listen!","i just swabbed for",5,"janet","janet",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"134","girls over 150 should stick to sweats and bags over their heads","girls over should stick to",6,"sweats","days","use","give","ton","british","men","sweats",NA,NA,NA,0,TRUE
"135","Is your last name Trump? Mine got $5 for the first & $1 for each thereafter.","is your last name trump mine got for",9,"the","new","back","see","thing","good","first","m","go","like","much",0.0199999999967986,FALSE
"136","haha its the culture B haha","haha its the",4,"culture","just","really","love","well","thanks","amazing","way","whats","full","almost",0.0100000000020373,FALSE
"137","LA MUJER DE IVAN @ 8:30PM. Screened as part of The New Chilean Directors Showcase.","la mujer de ivan pm screened as part",9,"of","new","really","something","secret","hit","highest","idea","meeting","dancing","father",0.0199999999967986,FALSE
"138","yessir you are correct","yessir you",3,"are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"139","You know, football isn't nearly as fun to watch when beer isn't involved","you know football isnt nearly",6,"as","fun","daily",NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"140","I found Toure Neblett much less of a jerk than one name Toure, the delusional ego maniac with an opinion on everything.","i found toure neblett much less of",8,"a","mins","focus","three","jerk","bleed","klout",NA,NA,NA,NA,0.0199999999967986,FALSE
"141","Anyone out there looking to buy hunting land in Northern & Central Wisconsin this fall?","anyone out there looking to buy hunting land in northern central wisconsin",13,"this","fall","governor",NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,FALSE
"142","""#Mathematics is made of 50 percent formulas, 50 percent proofs, and 50 percent imagination."" And #mathematicians prove this all the time!","is made of percent",5,"formulas","formulas","imagination","proofs",NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,TRUE
"143","wow I have snake bites again","wow",2,"i","really","followers","yeah","hate","show","thanks","things","made","lot","full",0,FALSE
"144","Phillip Humber threw a perfect game will never stop talking about it haha","phillip humber threw a perfect game will never stop talking about",12,"it","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
"145","So it's worth watching? So afraid to commit to another show.","so its worth watching so afraid to",8,"commit","ask","commit","plug",NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"146","aw. Okay","aw",2,"okay","wait","love","years","well","thats","okay","gone","congrats","sometimes",NA,0.0199999999967986,TRUE
"147","I'd like to know how much household help & had when the boys were infants & in school!","id like to know how much household help had when the",12,"boys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"148","Surrendering isn't just about letting go...It's about letting God!"" I surrender all!","surrendering isnt just about letting goits about letting god",10,"i","bless","love","get","just","much","see","good","one","help","always",0.0299999999988358,FALSE
"149","“: Rooney Rule: You should start #eating right, getting #sleep and #exercising soon, because soon it will be too late!”","“",2,"rooney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"150","#Startingnow I want ALL those girls of the world to know that they are beautiful and that there should #notbebulling and it should stop!","i want all those girls of the world to know",11,"that","you",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"151","I miss Ryan Dunn =(","i miss ryan",4,"dunn","want","baby","anymore","braun","dunn",NA,NA,NA,NA,NA,0,TRUE
"152","My Name Is MAHATAA is BOOK OF THE MONTH at Agape for the month of February, leading into book signing in mid-March! See you then!","my name is mahataa is book of the month at agape for the month of february leading into book",20,"signing","still","ever","thats","tonight","stay","seems","signing","thank","month","digital",0,TRUE
"153","San diego mayor talking about the necessity of art despite hard times!","san",2,"diego","diego","jose","martin","citrix","diegovote","ysidro",NA,NA,NA,NA,0.0200000000040745,TRUE
"154","Lol. Shep Jr. don't care!","lol shep jr",4,"dont","dont","seau","richards",NA,NA,NA,NA,NA,NA,NA,0,TRUE
"155","yikes..""since 2007, RIM has introduced 37 models"" -- A Boggle of Blackberrys nyti.ms/tKK5hZ","yikessince rim has introduced models a boggle of",9,"blackberrys","good","baby","blackberrys",NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,TRUE
"156","Ok I need kush rehab real shit","ok i need kush",5,"rehab","rehab","steve",NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"157","RT: it would be amazing and the best thing yet... if u were to follow me yee:)) 11:11","rt it would be",5,"amazing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"158","UK sucks. UofL all day","uk sucks uofl all",5,"day","day",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999967986,TRUE
"159","Started revising the chapter. Your suggestions are helping this argument along so well. I can't thank you enough!","started revising the chapter your suggestions are helping this",10,"argument","people","folks","argument",NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"160","""I look all summery and like a volleyball player"" made my day !","i look all",4,"summery","know","like","forward","great","twitter","much","new","good","tweet","tell",0.0199999999967986,FALSE
"161","#ICantStandPeople who think they know it all or start a conversation but don't keep it going","who",2,"think",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"162","I am so glad you like it as much as I do!","i am so glad you like it as much",10,"as","as",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000020373,TRUE
"163","talking about moving beyond ""the idea of giving your reputation to a social network and letting them monetize it""","talking",2,"about","just","im","bad","point","people","guys","haha","history","non","ideas",0.0199999999967986,FALSE
"164","So happy to finally be home. I missed my family so much.","so happy to",4,"finally","birthday","mothers","new","happy","thanksgiving","joy","hour","friday","easter","holidays",0.0100000000020373,FALSE
"165","you've been fed a complete diet of propaganda your whole life...now how will you vote?...the only way you have learned thru inculcation?...","youve been fed a complete diet of propaganda your whole lifenow how will you votethe only way you have",20,"learned","to","the",NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,FALSE
"166","I likee both of them ;o","i likee",3,"both","o",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"167","is on Tuesday and watching A Man Apart...one of my favorites!","is on tuesday",4,"and","watching","games","tonight","evenings",NA,NA,NA,NA,NA,NA,0.0199999999967986,FALSE
