"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","timeToPredict","Correct","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10"
"50","He was right to be surprised. PALG isn't just merely a ""nonprofit law group"" that ""assists patients in obtaining the benefits they are lawfully entitled to receive,"" as the letter stated. The two attorneys who incorporated PALG -- Edmond DeFrank and Robert Silverman -- have both done legal work for 1-800-GET-THIN.","he was right to be surprised palg isnt just merely a nonprofit law group that assists patients in obtaining the benefits they are lawfully entitled to receive as the letter stated the two attorneys who incorporated",37,"palg","palg",0.0199999999967986,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Dismissing the ""hypocrisy"" of Lautenberg’s comments, Norcross said, ""Aside from the absurdity of his comments, it’s interesting to note that he never expressed these sentiments when he literally begged for South Jersey’s support in all of his campaigns for re-election.""","dismissing the hypocrisy of lautenberg’s comments norcross said aside from the absurdity of his comments it’s interesting to note that he never expressed these sentiments when he",28,"literally","was",0.0300000000061118,FALSE,"heard","won","took","learned","reached","is",NA,NA,NA
"52","""He wanted to come home before he died,"" said Etchison, who lives in Orange.","he wanted to come home",6,"before","run",0.0299999999988358,FALSE,"sales","one","block","equity","runs","turf","year","care","now"
"53","Newly-divorced and unemployed, a woman named Stephanie Plum decides to take a job at her sleazy cousin's bail bond agency. But her first assignment has her tracking down a former cop and murder suspect, who is also her old high school crush. Pretty convenient, eh?","newlydivorced and unemployed a woman named stephanie plum decides to take a job at her",16,"cousins","creation",0.0299999999988358,FALSE,"said","done","can","growth","also","make","side","cuts","didnt"
"54"," ""Show Dog"" by Josh Dean (It Books, $24.99, 416 pages): Magazine journalist Dean covers the behind-the-scenes world of dog shows, traveling for a year with champion Australian shepherd Jack and his handlers. He found a dog-show subculture not far removed from the satirical movie ""Best in Show.""","� show dog by josh dean it books pages magazine journalist dean covers the behindthescenes world of dog shows traveling for a year with champion australian shepherd jack and his handlers he found a",35,"dogshow","guilty",0.0499999999956344,FALSE,"dead","percent","get","best","area","information","man","ways","much"
"55","""Due to the state budget long-term projects weren't addressed by MDOT,"" he continued. ""The state has jurisdiction over most of the roads that are seeing the larger increase in traffic.""","due to the state budget longterm projects werent addressed by mdot he continued the state",16,"has","of",0,FALSE,"to","will","department","board","is","house","pay","the","in"
"56","Yet some hospitals do make it easier. On its website, Huntington Memorial Hospital in Pasadena allows people to select several common procedures and get an instant price quote, including an estimate of the patient's share after plugging in their deductible and coinsurance. But even those numbers exclude the thousands of dollars that physicians, anesthesiologists and other specialists would tack on for most surgeries.","yet some hospitals do make it easier on its website huntington memorial hospital in pasadena allows people to select several common procedures and get an instant price quote including an estimate of the patients share after plugging in their deductible and coinsurance but even those numbers exclude the thousands of dollars that physicians anesthesiologists",55,"and",NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Mother's Day Tea Party: 6:30-8 p.m. May 11. Dress in your finest dress, tea hat and pearls and celebrate Mother's Day at High Tea with a 1920s-inspired fashion show. The formal sit-down tea service includes pastries, tea sandwiches, cakes and cookies. Proceeds benefit the church's building fund. Reserve your seat by sending an e-mail to kbonowil@cox.net or therndon@stonepointcc.org. Stonepoint Community Church, 8110 W. Peoria Ave., Suite 101, Peoria. $10, $5 for kids. 623-337-8663. stonepointcc.org.","mothers day tea party pm may dress in your finest dress tea hat and pearls and celebrate mothers day at high tea with a sinspired fashion show the formal sitdown tea service includes pastries tea sandwiches cakes and cookies proceeds benefit the churchs building fund reserve your seat by",50,"sending","first",0.0199999999967986,TRUE,"become","april","man","sending","sat","belts","defeated","wayne","lyric"
"58","AN Collision Center of Tempe, an AutoNation company, sold a 2.53-acre parcel at 6420 E. McDowell Road in Scottsdale to McDowell 6620 LLC for $2.25 million. Ed Beeh and Mike Polachek with SRS Real Estate Partners and Jacqueline Blake of Cypress Equities AutoGroup division represented the seller, and Mark Cagley of Cagley Properties Inc. represented the buyer.","an collision center of tempe an autonation company sold a acre parcel at e mcdowell road in scottsdale to mcdowell llc for million ed beeh and mike polachek with srs real estate partners and jacqueline blake of cypress equities autogroup division represented the seller and mark cagley of cagley properties inc represented",53,"the","mix",0.0299999999988358,FALSE,"series","buyer","seller","nascent",NA,NA,NA,NA,NA
"59","""I got involved after Tony lost his battle with lymphoma in 2008,"" said Soyster, a Fenton resident.","i got involved after tony lost his battle with lymphoma in said soyster",14,"a","fenton",0.0100000000020373,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Before he left for work each day, Walsifer said, she would tell Matlosz, ""always safe, extra safe.""","before he left for work each day walsifer said she would tell matlosz always",15,"safe","will",0.0299999999988358,FALSE,"going","remember","know","think","want","thing","bit","one","done"
"61","White wine or water","white",2,"wine","house",0.0200000000040745,TRUE,"wine","grape","mottahedeh","said","people","stage","water","project","took"
"62","So, while the USGA is stedfast on its insistence that Trump National-Bedminster’s selection as the host for a U.S. Women’s Open is just that — the door appears to be cracked a little bit more now. And that’s all Trump has asked for.","so while the usga is stedfast on its",9,"insistence","own",0.0199999999967986,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","""It may change their lives, but they might not develop PTSD,"" she said.","it may change",4,"their","time",0.0299999999988358,FALSE,"night","make","back","can","hes","bill","days","system","saying"
"64","""Osama Bin Laden was responsible for killing 343 members of the FDNY on Sept. 11, 2001,"" the commissioner said in a statement. ""Tonight, in firehouses throughout the city, our members are grateful for the news, and thankful to all the brave members of the U.S. military that had a role in this successful operation.""","osama",2,"bin","bin",0.0100000000020373,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Jan. 29, Copley Symphony Hall: Joffrey Ballet","jan copley symphony",4,"hall","hall",0.0199999999967986,TRUE,"c","orchestra","ballet",NA,NA,NA,NA,NA,NA
"66","""When you talk about our younger players, even some that have been around a bit, when you go through something like this it's history, but it's also something you have to learn from,"" Seattle manager Eric Wedge said. ""You feel where you are heartbeat-wise in the latter innings of that game and learn from that. Learn at certain times when you go through different at-bats what happened and why. ... You've got to learn from anything like this.""","when you talk about our younger players even some that have been around a",15,"bit","world",0.0299999999988358,TRUE,"state","stage","town","said","years","will","like","four","bit"
"67","His route was planned by his friend Scott Partridge, an accountant from Rancho Santa Margarita. The two have been planning the walk for the better part of a year. Partridge plans to help lead Shaw on a route out of Orange County parallel to Ortega Highway that will take them off-road and over craggy terrain. The original plan was to take Ortega, but Partridge said walking and parking vehicles on the highway could cause problems.","his route was planned by his friend scott partridge an accountant",12,"from","doesnt",0.0100000000020373,FALSE,"rancho",NA,NA,NA,NA,NA,NA,NA,NA
"68","7. Jon Jay, CF (.267)","jon jay",3,"cf","planning",0.0200000000040745,TRUE,"set","client","cf","cutler","cutlers","davidsons","jennifer","summited",NA
"69","Stotik's the auteur, a visionary who inhabits his mind strongly and makes it come alive through his work, and seemingly has little time for anything else. Though brilliant and educated, he's often worked labor and construction jobs in order to make a living. While he doesn't appear overprotective, Stotik is discreet about his private affairs. He lives in North Portland with his wife, Tammy. The rest of his family is spread out geographically -- his parents live in Portland, along with one brother. Another brother and sister reside in Idaho and California, respectively.","stotiks",2,"the","auteur",0.0199999999967986,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Economists expect the economy added 155,000 net jobs, the seventh straight month of solid hiring. The unemployment rate is expected stay for the second month at 8.5 percent, near a three-year low.","economists expect the economy added net jobs the seventh straight month",12,"of","ago",0,FALSE,"later","june","will","though","percent","people","city","board","first"
"71","""We looked at photos of old Arts & Crafts kitchens and brought in some of those connotations,"" said Hansen. ""Like the crackled subway tile from the floor to the picture rail.""","we looked at photos",5,"of","old",0.0100000000020373,FALSE,"graffiti",NA,NA,NA,NA,NA,NA,NA,NA
"72","But the vibe is much improved for several reasons -- the main one being the dissension and controversy centered on former coach John Kuester was replaced by the relatively calm waters of Lawrence Frank's first season.","but",2,"the",NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","""All For Love"" (1993) *With Sting and Bryan Adams","all for",3,"love","of",0.0199999999967986,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","At a hearing by the U.S. Bureau of Ocean and Energy Management, opponents of the proposal vastly outnumbered supporters, who were mainly business groups that say expanded drilling will help America reduce its dependence on foreign oil.","at a hearing by the us bureau of ocean and energy management opponents of the proposal vastly outnumbered supporters who were mainly business groups",25,"that","said",0.0299999999988358,FALSE,"like","city","say","five","cities","success","little","notably","tea"
"75","""One of the things about Sue, as you probably know, is where she stands on an issue,"" said Dean Marriott, director of the city's Bureau of Environmental Services. ""I always appreciated that frankness.""","one of the things about sue as you probably know is where she stands on an issue said dean marriott director of the citys bureau of environmental services i always appreciated",32,"that","marketed",0.0100000000020373,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","""What this ordinance does is promote transparency in the process,"" said North Ward Councilman Anibal Ramos, who is sponsoring the bill. ""It keeps the legislative body in the loop.""","what this ordinance does is promote transparency in the process",11,"said","of",0.0200000000040745,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","The Cleveland bank also has increased its tangible common equity ratio, an important indicator of financial strength, to 7.6 percent, up from 7.3 percent. Anything above 5 percent is considered good.","the cleveland bank also has increased its tangible common equity ratio an important indicator of financial strength to percent up from percent anything",24,"above","else",0.0199999999967986,FALSE,"like","percent","can","just","made","away","practice","yet","rush"
"78","Outdoor festivals and events might be enjoyable (if the weather cooperates) for those who can walk well, but if you can’t — or you are responsible for taking somebody who can’t — it reduces the fun factor.","outdoor festivals and events might",6,"be","like",0.0100000000020373,FALSE,"see","able","well","even","pass","think","want","get","make"
"79","It's a significant milestone because the publisher of the New York Times, the Boston Globe, the International Herald Tribune and 15 other daily newspapers pays most of its bills by selling ads.","its a significant milestone because the publisher of the new york times the boston globe the international herald tribune and other daily newspapers pays most of",27,"its","the",0.0299999999988358,FALSE,"their","which",NA,NA,NA,NA,NA,NA,NA
"80","2903 Wood Poppy Dr, $192,000","wood",2,"poppy","two",0.0199999999967986,TRUE,"made","items","using","began","poppy","shoulder","memorial","summit","structure"
"81","The question wasn't rocket science, but it momentarily stumped a Minneapolis Institute of Arts tour guide.","the question",3,"wasnt","of",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Sen. Kevin O’Toole (R-Essex): Yes","sen kevin o’toole",4,"ressex","brown",0,FALSE,"sophomore","colucci","feige","gilbride","hickey","holt","kilkelly","rudolph","shattenkirks"
"83","Special to Tribune Newspapers","special",2,"to","events",0,FALSE,"treatment","place","education","session","appeals","side","coach","always","feel"
"84","A problem once associated with bodybuilders and pro athletes has extended to law enforcement in recent years. Other federal investigations of police and steroid use have led departments in several major cities, such as New York and Boston, to consider expanding random testing for steroids.","a",2,"problem",NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Christensen also said if a child needed to be hospitalized as a result of a teacher's actions, ""it would be a violation of all we believe in as a school district.""","christensen also said if a child needed to be hospitalized as a result of a teachers actions it would be a violation of all we believe",27,"in","will",0.0199999999967986,FALSE,"school","said","us","one","s","able","just","romney","marriage"
"86","Southern Oregon detectives say they are building a case against at least four people suspected of selling pirated computer software and DVDs of TV shows.","southern oregon detectives say they are building a case against at least four people suspected of selling pirated computer software and dvds of",24,"tv","tv",0.0299999999988358,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Whitman, though, has handled every challenge that's been tossed her way with aplomb.","whitman though has handled every challenge thats",8,"been","percent",0.0100000000020373,FALSE,"going","just","say","like","thats","good","hes","right","pretty"
"88","“I would like, for once, to see politicians keep their word,” he said, including himself. However, “I can understand, or rationalize anyway, and maybe that’s what I’m doing, that would be reason enough to keep the toll -- if we can build that ramp,” he said.","“i would like for once to see politicians keep their word” he said including himself however “i can",19,"understand","get",0.0199999999967986,FALSE,"also","use","become","just","look","see","cause","change","now"
"89","Hickey hospitalized: Sox batting practice pitcher and former major leaguer Kevin Hickey remains in a Dallas hospital for further tests.","hickey hospitalized sox batting",5,"practice","average",0.0100000000020373,TRUE,"practice","road","cages",NA,NA,NA,NA,NA,NA
"90","The council has not yet officially discussed how to boost revenue to keep from having to delve deep into the city's fund balance, currently about $13 million. McGinnis said the council explored all avenues to cut costs while thinking about how to maintain an appropriate level of service.","the council has not yet officially discussed how to boost revenue to keep from having to delve deep into the citys fund balance currently about million",27,"mcginnis","first",0.0200000000040745,FALSE,"year","million","according","euros","people","tax","jobs","budget","americans"
"91","“The Whigham Funeral Home is not responsible and had no role in this shameful betrayal,” he said.","“the whigham funeral home is not responsible and had no",11,"role",NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","The fire company extinguished the fire, and the house was deemed inhabitable after the firefighters completed their work on scene, police said.","the fire company extinguished",5,"the","fire",0.0299999999988358,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","The proposal died after running into opposition from neighbors, preservationists and, the main deal-killer, the hotel workers' union, Local 2.","the proposal died after running into",7,"opposition","back",0.0100000000020373,FALSE,"around","mayor","people","game","team","deficit","played","store","short"
"94","After cruising through the first four innings, Greinke gave up three consecutive hits to start the fifth. Joaquin Arias' single, the third in the sequence, scored Angel Pagan.","after cruising through the first four innings greinke gave up",11,"three","four",0.0299999999988358,TRUE,"new","just","three","may","direct","floor","different","early","family"
"95","""Ideas don’t know boundaries,"" he said. ""I don’t see how ELEC gets its arms around that.""","ideas don’t know",4,"boundaries","ive",0.0199999999967986,FALSE,"now","will","thats","one","can","better","thousands","tired","whole"
