"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","prediction2","prediction3","prediction4","prediction5","prediction6","prediction7","prediction8","prediction9","prediction10","timeToPredict","Correct"
"45","This new blackberry has made the most unproductive person ever.","this new blackberry has made the most",8,"unproductive","same","first","most","world","time","other","way","end","last","best",0.0399999999990541,FALSE
"46","Transition defense anyone? C'mon Suns!","transition defense",3,"anyone","you","can","before","however","lawyer","secretary","contractor","counsel",NA,NA,0.0300000000006548,FALSE
"47","My man avoids the camera, but tonight the camera found him! #NASCARRaceDayon SPEED.","my man avoids the camera",6,"but","same","first","most","world","time","other","way","end","last","best",0.0300000000006548,FALSE
"48","Follow our personal twitters, , , , ,","follow our personal",4,"twitters","experience","time","favorite","gain","story","feel","blog","or","cards","issues",0.00999999999839929,FALSE
"49","publicly-biased? what do you mean?","publiclybiased",2,"what",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"50","Getting hair done by the wonderful people at Can't wait to hit the dance floor tonight.","getting hair",3,"done","and","it","felt","got","in","rest","out","from","up","over",0.0200000000004366,FALSE
"51","wait what is a noogie?","wait what is",4,"a","the","happening","to",NA,NA,NA,NA,NA,NA,NA,0.0300000000006548,FALSE
"52","Also, had a good convo with Evo Institute 's Jerry Lieberman RE: community organization the right way (i.e., where it does good not harm!)","also had a good convo with evo",8,"institute","the","my","her","me","their","this","some","his","you","an",0.0100000000002183,FALSE
"53","love you to!! <3","love you",3,"to","can","have","are","know","will","to","want","get","think","do",0.0199999999986176,TRUE
"54","I wanted that kiss for a long time!! <3","i wanted that kiss for a long",8,"time","time",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000002183,TRUE
"55","Hehe got to charge my phone (:","hehe",2,"got",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"56","2 old men tonight asked me if I played golf cause I looked familiar..but I had no idea who their granddaughters were lol","old men tonight asked me if i played golf cause",11,"i","course","walk",NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000002183,FALSE
"57","Thank you for the #FF love , , , and","thank you",3,"for","for","to","and","again",NA,NA,NA,NA,NA,NA,0.0200000000004366,TRUE
"58","yes sir and they are in postseason form","yes sir and they are in",7,"postseason","the","not","you","some","all","also","in","still","now","so",0.0299999999988358,FALSE
"59","Just a reminder...I can now be seen in the recently released music video for ""Marry Me"" by top selling band !","just a reminderi can now be",7,"seen","that","the","and","is","if","but","for","have","to","it",0.0300000000006548,FALSE
"60","And that's who I'm going with!!","and thats who",4,"im","is","are","was","have","has","were","had","do","would","will",0.0299999999988358,FALSE
"61","And ! RT : Happy birthday !","and rt",3,"happy","cispa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE
"62","Our sponsor Printing Partners has been named to The BCA 10: Best Companies Supporting the Arts in America for 2011. Congratulations!","our sponsor",3,"printing","the","of","it","than",NA,NA,NA,NA,NA,NA,0.0200000000004366,FALSE
"63","I feel yu","i",2,"feel","was","have","am","had","think","can","know","would","love","will",0.0300000000006548,FALSE
"64","I mean it, if i meet justin bieber, my life is going to be made <3","i mean it if",5,"i","was","is","were","comes","means","didnt","was","is","and","would",0.0300000000006548,FALSE
"65","Good to hear! I'm addicted to journals, art supplies, etc. The possibilities are so delicious :)","good to hear im addicted to journals art supplies etc the possibilities are",14,"so","ones","same","first","most","times","result","for","you","are","in",0.0300000000006548,FALSE
"66","Im so fucking done...i wanna be happy","im so donei wanna",5,"be","am",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0300000000006548,FALSE
"67","New Portland radio station... 1059thebrew.com","new portland",3,"radio","and","so","place","velvet","timbers",NA,NA,NA,NA,NA,0.0199999999986176,FALSE
"68","Maybe 1/2 recognized it; 1/2 of those placed it; and another 1/2 connected the dots.","maybe recognized it of those",6,"placed","you","us","the","my","this","course","his","it","her","our",0.0400000000008731,FALSE
"69","it was amazing! Scary, exciting, kept you guessing. And that ending!","it was amazing scary exciting kept you guessing",9,"and","can","have","are","know","will","to","want","get","think","do",0.0299999999988358,FALSE
"70","lies! Because I not goofy","lies",2,"because","the","of","in","at","from","beyond","neglected",NA,NA,NA,0.0200000000004366,FALSE
"71","And turned and took 2 steps. No slo mo needed. RT : He caught that pass bitch","and turned and took steps no slo mo needed rt he caught that",14,"pass","is","was","had","has","would","can","wanted","didnt","may","holds",0.0500000000010914,FALSE
"72","that ain't my style","that",2,"aint","the","is","you","he","we","it","was","they","there","are",0.0100000000002183,FALSE
"73","Come on Ayala get us out of this jam","come on ayala get us out of this",9,"jam","the","my","this","course","his","it","her","our","them","us",0.0299999999988358,FALSE
"74","I don't think anyone realizes how much I want to just lay in my bed, all day.","i dont",3,"think","know","think","want","have","like","believe","feel","care","wear",NA,0,TRUE
"75","late bc i was in an airport but shout outs to for finally beating wolfkrone in a tourney... lab time as paid off man","late bc i was",5,"in","was","have","am","had","think","can","know","would","love","will",0.069999999999709,FALSE
"76","Gotta love field trips that end with lunch at Portillos","gotta love",3,"field","and","the","to","you","it","this","that","of","my","her",0.0100000000002183,FALSE
"77","Bah! New forced hero academy update and no access to wifi for at least an hour! Screw you AT&T!","bah new forced hero academy update and no access to wifi for at least an hour you",18,"att","or","and","of","the","then","this","all","but","from","because",0.0300000000006548,FALSE
"78","R.I.P. GRANDPA MANUEL AND HAPPY BIRTHDAY!!! We love and miss you!!!","rip grandpa",3,"manuel","who",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"79","Doh! My overly trite point: it should have been so obvious to the devloprs that a trite tweet could point it out.","doh my overly trite point it should have been so obvious to",13,"the","is","to","way","they","but","point","harry","disdain","formulas","parallels",0.0400000000008731,FALSE
"80","Most people spend their time trying to find someone to sleep with instead of finding someone worth waking up to. #Back2bed #ImOut! Ha","most people spend their time trying",7,"to","to","in","and","for","of","the","with","when","so","but",0.0300000000006548,TRUE
"81","Thank you for your support!","thank you for your",5,"support","the","me","my","this","you","all","us","it","an","their",0.0299999999988358,FALSE
"82","the credit business has turned into a rackett to a degree; thanks for the follow","the credit business has turned into a rackett to",10,"a","point","possible","boil","lot","good","new","year","house","place","page",0.0300000000006548,FALSE
"83","Me & the Rza connect","me",2,"the","to","and","that","in","the","as","of","for","with","how",0,TRUE
"84","done, follow me (=","done",2,"follow","in","it","and","with","by","for","is","to","as","so",0.0100000000002183,FALSE
"85","asks all the right questions","asks all the right",5,"questions","same","first","most","world","time","other","way","end","last","best",0.0199999999986176,FALSE
"86","""Grandma, just because that woman is wearing #yoga clothes does NOT mean we know her...""","grandma just because",4,"that","they",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000002183,FALSE
"87","Can u feel me reading ur tweets? It's like a touch from god but not really.","can u feel me reading",6,"ur","to","and","that","in","the","as","of","for","with","how",0.0300000000006548,FALSE
"88","OAuth clearer, looking forward to #devexp improvements to come.","oauth clearer looking forward to",6,"improvements","to","in","but","have","this","and","just","help","with","because",0.0200000000004366,FALSE
"89","Even if not sued Brewster is setting norms for how copyright should work. When one can't change the law start with the norms.","even if not sued brewster is setting norms for how copyright should work when one cant change",18,"the","wait","find","remember","be","get","tell","quite","give","help","believe",0.0200000000004366,FALSE
"90","Any specific new spas or boutiques? And events in March or April 2012?","any specific new spas or boutiques and events in",10,"march","as","out","in","of","that","have","will","we","where","or",0.0500000000010914,FALSE
"91","Just finished a 7.5K run. Guess there's some life in the old corpus yet.","just finished a k run guess",7,"theres","in","by","to","into","around","the","it","for","out","away",0.0299999999988358,FALSE
"92","Gotta love Hayleigh & Drew from the gym with the convos we have & Jenn for being such a good sport ;) doing her leg exercises","gotta love hayleigh drew from the gym with the convos",11,"we","same","first","most","world","time","other","way","end","last","best",0.0300000000006548,FALSE
"93","The worst part about job hunting is when you get the ""We loved you but..."" emails/calls :-(","the worst part about",5,"job","of","in","is","time","it","and","the","are","that","our",0.0300000000006548,FALSE
"94","Of course. But if I wrote the resume, I'd suspect job search strategy was the problem ;-)","of course but if i wrote the resume id suspect",11,"job","be","been","like","rather","love","try","do","had","know","most",0.0199999999986176,FALSE
"95","did you realize that you are trending right this moment!","did you realize that you",6,"are","the","is","you","he","we","it","was","they","there","are",0.0300000000006548,TRUE
"96","Can't miss my calling !","cant",2,"miss","wait","find","remember","be","get","tell","quite","give","help","believe",0.0300000000006548,FALSE
"97","Oh #swamppeople, one of them is gonna lose their hand!","oh one of them is gonna lose",8,"their","be","have","get","go","love","say","if","blog","happen","bother",0.00999999999839929,FALSE
"98","I've discovered that south jersey looks just as southern as south and north Carolina.","ive discovered that south jersey",6,"looks","of","carolina","africa","africanism","africas","is","it","end","and","by",0.0400000000008731,FALSE
"99","Travis giving Wes the blues","travis giving",3,"wes","me","it","him","them","away","my","and","in","their","life",0.0300000000006548,FALSE
"100","What is the most important thing you look for when purchasing a class, lesson, activity or camp?","what is the most important thing you look for when purchasing",12,"a","the","you","it","we","he","they","she","im","my","its",0.0100000000002183,FALSE
"101","THEN BOOM... BABY MOMMA BABY DADDY... NO WEDDING.. NO RING","then boom baby momma baby daddy no",8,"wedding","and","put",NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"102","6 hours and 5 minutes until pre sales for ""Rise From Zion"" begin! You guys are going to love this!!!","hours and minutes until",5,"pre","or","of","before","to","in","if","after","until","you","then",0.0300000000006548,FALSE
"103","That is hardcore!","that is",3,"hardcore","the","not","what","in","just","all","very","going","if","easily",0.0200000000004366,FALSE
"104","Gasol is ready","gasol",2,"is",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"105","Realizing I am out of conditioner 30 seconds after getting in the shower was the highlight of my fucking day!","realizing i am out of conditioner seconds after getting in the shower was the",15,"highlight","the","to","in","not","so","going","an","still","that","very",0.0300000000006548,FALSE
"106","Last tweet was an excited squeal BTW should've seen the looks I got when I screeched. #Indians are tied","last tweet was an excited squeal btw shouldve seen the looks i got when i screeched are",18,"tied","and",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00999999999839929,FALSE
"107","No, I try to work SMARTER, not HARDER, and show it off. ""Do you stay late at work to prove you're pulling your weight? "" ""","no i try to work smarter not harder and show it off do you stay late",17,"at","on","in","with","home","here","tuned","at","long","put","up",0.0200000000004366,TRUE
"108","I'm single and yea that my daughter","im single and yea",5,"that","the","then","it","that","we","in","he","they","is","you",0.0300000000006548,TRUE
"109","I've used them many times, but as it's run by volunteers they aren't always online when you list. keep with it, worth it!","ive used them many times but as its",9,"run","the","well","it","we","they","much","an","you","if","he",0.0300000000006548,FALSE
"110","I want a weird al accordion","i want a weird al",6,"accordion","it","case","reason","wednesday","outer","assignments","plus","offtime",NA,NA,0.0299999999988358,FALSE
"111","I always gotta pick my fav driver mark Martin","i always gotta pick",5,"my","have","go","look",NA,NA,NA,NA,NA,NA,NA,0,FALSE
"112","Workin' today, tomorrow, and Saturday MAC Cosmetics! Come see me ya'll!","workin today tomorrow and",5,"saturday","morning","we","at","for","the","are","then","will","and","with",0.0100000000002183,FALSE
"113","After last night had to drink an #energydrink before the game. Ya girl is #hype #60 more minutes","after last night had to drink an before the game ya girl is",14,"more","who","in","at","is","to","he","and","or","was","of",0.0199999999986176,FALSE
"114","The start-up pitch I vote for at #ultralight is Up-and-coming start up!","the startup pitch i vote for",7,"at","in","on","and","has","now","for","confuse",NA,NA,NA,0.0100000000002183,FALSE
"115","remembering concerts: saw Big Audio Dynamite, Joe Strummer, but never got to see The Clash. saw John Lydon, but never PIL, The Sex Pistols","remembering concerts saw big audio dynamite joe strummer but never got to see the clash saw john lydon but never pil the",23,"pistols","be","been","know","get","really","ever","seen","do","had","did",0.0300000000006548,FALSE
"116","The person who gets the farthest is generally one who is willing to do and dare.The sure-thing boat never gets far from shore.~Dale...","the person who gets the farthest is",8,"generally","same","most","best","only","first","last","one","story","case","other",0.0499999999992724,FALSE
"117","Chiming in w #iaspm tweeters on excellence of Karl Millers's paper. Project critiques historical narrative that C20 listening is passive.","chiming in",3,"w","the","my","this","his","our","an","their","your","that","order",0.0200000000004366,FALSE
"118","I can never handle someone who is too sensitive","i can never handle someone who is too",9,"sensitive","the","not","that","to","an","in","very","no","one","going",0.0100000000002183,FALSE
"119","The fact I get a 68% on a yet and my grade goes up 5% . >>>>","the fact i get a on a yet",9,"and","few","little","lot","bit","good","new","great","couple","long","very",0.0300000000006548,FALSE
"120",""": Good Morning World you are now rockin with the #Blessed"" happy hump day!","good morning world you are now rockin with the",10,"happy","the","my","her","me","their","this","some","his","you","an",0.0299999999988358,FALSE
"121","#KSsynapse Monteggia: In several behavioral models of depression & stress, low-dose ketamine rescued depression-like phenotypes in rodents.","monteggia in several behavioral models of",7,"depression","are","in","the",NA,NA,NA,NA,NA,NA,NA,0.0200000000004366,FALSE
"122","amen, girl amen ","amen girl amen",4,"�","who","in","at","is","to","he","and","or","was","of",0.0300000000006548,FALSE
"123","thank you for your service to are beloved steelers we will truly miss your smile every sunday","thank you for",4,"your","the","me","my","this","you","all","us","it","an","their",0.0100000000002183,FALSE
"124","But why does this girl in study think she can sing like The Band Perry.....","but why does this",5,"girl","not","the","it","this","that","to","me","in","your","no",0.0300000000006548,FALSE
"125","PUT A BLOCK ON LOVE....RUN WHEN ITS NEAR...JS...DONT LOVE ME!....","put a block on loverun when",7,"its","the","my","this","his","their","to","her","it","your","how",0.0299999999988358,FALSE
"126","Good morning #TomorrowBook followers! Thank you guys for helping to developed our amazing search engine! Remember to add logos today!","good morning followers thank you guys for",8,"helping","and","to","do","are","to","know","that","did","with","sure",0.0500000000010914,FALSE
"127","Leaving Kalamazoo behind today after a great time and a Rykse's Cinnamon roll","leaving kalamazoo behind today after",6,"a","and","is","was","we","with","the","to","my","it","this",0.0300000000006548,FALSE
"128","You mad ?RT : Caint never get no sleep fuckin with this nigga ","you mad rt caint never get no sleep with",10,"this","luck","so","to","same","well","that","in","with","at","what",0.0199999999986176,FALSE
"129","How can Andrew Bynum have such an incredible work ethic but play like a lazy piece of crap sometimes?","how can andrew bynum have such an incredible",9,"work","hour","old","amazing","interesting","opportunity","open","adult","email","individual","awesome",0.0300000000006548,FALSE
"130","If you didn�t get a negative reaction, that means you�re standing neutral and you have no point of view","if you didn�t get a negative reaction that",9,"means","to","was","would","completely",NA,NA,NA,NA,NA,NA,0.0300000000006548,FALSE
"131","wanna go tomorrow?","wanna",2,"go","learn","pull","dig","tarnish","waltz",NA,NA,NA,NA,NA,0.0199999999986176,FALSE
"132","no problem sweetheart((:","no problem",3,"sweetheart","of","with","is","by","the","and","or","was","it","that",0.110000000000582,FALSE
"133","Or MySpace?","or",2,"myspace","the","not","even","so","two","to","maybe","something","anything","if",0,FALSE
"134","@ school. teacher's like bitching at all of us -_-","school teachers like bitching at",6,"all","to","the","it","that","this","me","my","you","in","an",0.0300000000006548,FALSE
"135","Maybe it's a condition of getting older: we forget about the bears' defenseless inner ears.","maybe its a condition of getting older we forget about the bears",13,"defenseless","same","first","most","world","time","other","way","end","last","best",0.0299999999988358,FALSE
"136","So I'm performing a musical this weekend. It's at Lakeside High School in Atlanta, GA. Wanna come? I'll buy your ticket! :)","so im performing a musical this weekend its at lakeside high school in atlanta",15,"ga","the","my","this","his","our","an","their","your","that","order",0.0300000000006548,FALSE
"137","What is the case for not bunting there? There must be one......","what is the case for not bunting there",9,"there","candles",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0100000000002183,FALSE
"138","Waiting for #oomf to tell me how i changed.","waiting for to",4,"tell","the","be","do","get","make","see","have","go","me","my",0.0399999999990541,FALSE
"139","Can we get some free ones for suffering thru the Matt Killcullen and Ken McDonald eras?","can",2,"we","be","see","do","find","get","make","you","only","never","use",0,FALSE
"140","phone dropped one too many times. On the plus side it's an indirect upgrade since my crap's too old!","phone dropped one too many times on the plus side its an indirect",14,"upgrade","hour","old","amazing","interesting","opportunity","open","adult","email","individual","awesome",0.0300000000006548,FALSE
"141","Shut up. I hate you. I had toast and instant coffee.","shut up i",4,"hate","was","have","am","had","think","can","know","would","love","will",0.0300000000006548,FALSE
"142","the weather is crazy if your hot and we're cold. freaky!","the weather is crazy if your hot and were",10,"cold","the","then","it","that","we","in","he","they","is","you",0.00999999999839929,FALSE
"143","I remember kindergarten where you actually got to do things, not like today. Now that's graduate school. - Alan Kay","i remember kindergarten where you actually got to do things not like today now thats graduate",17,"school","what","all","it","for","why","the","just","right","not","how",0.0200000000004366,FALSE
"144","How was your day. :)","how was",3,"your","the","to","in","not","so","going","an","still","that","very",0.0300000000006548,FALSE
"145","Thanks! You guys rock!","thanks",2,"you","to","for","be","so","again","then","in","also","god","let",0,FALSE
"146","Not as good as me!","not as",3,"good","it",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000004366,FALSE
"147","Yes. Put it over the trailer hitch and make that the clit.","yes put",3,"it","the","on","it","in","my","them","this","his","into","together",0.0299999999988358,TRUE
"148","20 min on hold is still a tremendous fail though!","min on hold is still a tremendous",8,"fail","few","little","lot","bit","good","new","great","couple","long","very",0.0100000000002183,FALSE
"149","Early Saturday morning, my favorite time to create new burgers, anyone got a showstopper? Ooh, also don't miss corndogs 4 Easter tomorrow","early saturday morning my favorite time to create new burgers anyone got a showstopper ooh also dont miss",19,"corndogs","know","want","have","think","like","get","you","need","care","do",0.0300000000006548,FALSE
"150","I realize that I am beginning to make a lot of people uncomfortable when I bring ""race"" and ""oppression"" into ""our"" perfect world of yoga","i realize that i am beginning to make a lot of people uncomfortable when i bring race and oppression into",21,"our","of","are",NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000004366,FALSE
"151","My friend Zach Fleury says if you're a hipster in Seattle you tweet, instagram, and wear skinny jeans...interesting formula","my friend zach fleury says if youre a hipster in seattle you tweet instagram and",16,"wear","and",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"152","Certainly, one can have morals without law or religion. Or can they? (Part 2/2)","certainly one",3,"can","of","day","is","that","and","who","thing","to","for","more",0.0200000000004366,FALSE
"153","so glad I don't have to work tonight. I'd be a #zombielibrarian. Instead I'll be a","so glad i dont",5,"have","was","have","am","had","think","can","know","would","love","will",0.0300000000006548,TRUE
"154","when a girl tells you about her problems, it doesn't mean she's complaining, it means she trusts you.","when a girl tells you about her problems it doesnt mean shes complaining it",15,"means","on","because",NA,NA,NA,NA,NA,NA,NA,NA,0.0299999999988358,FALSE
"155","That's awfully convenient of them. :) Thank you again!","thats awfully convenient of them",6,"thank","the","my","this","course","his","it","her","our","them","us",0.0200000000004366,FALSE
"156","According to a “Time Magazine Survey”, 59% of Americans would rather sit in a Dentist’s chair than sit next to someone on a cell phone.","according to a “time magazine survey”",7,"of","is","article","and","he","that","in","for","asked","came","or",0.0300000000006548,FALSE
"157","I CANT STOP LISTENING TO 11:11 ITS AN AMAZING SONG!","i cant stop listening to its an",8,"amazing","not","been","the","own","just","all","an","hard","time","way",0.0299999999988358,FALSE
"158","Silent stats class, this girl come in blasting Chris Brown. No one can think straight.","silent stats class this girl",6,"come","is","one","was","week","time","year","blog","morning","post","will",0.0300000000006548,FALSE
"159","so pumped for tonight at w/ ""rockin' with our city like a sold-out show.""","so pumped for tonight at w",7,"rockin","the","least","all","this","home","my","me","some","it","that",0.0300000000006548,FALSE
"160","Yes Kobe Kobe Kobe","yes kobe",3,"kobe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"161","This sucks","this",2,"sucks","is","one","was","week","time","year","blog","morning","post","will",0.0299999999988358,FALSE
"162","True That!","true",2,"that","to","love","for","believers","it","that","story","but","nature","fans",0.0200000000004366,TRUE
"163","How so? I talked to u yesterday :)-- RT : so i missed talking to fans :( how sad","how so",3,"i","much","that","we","many","they","far","it","the","you","this",0.0299999999988358,FALSE
