"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","prediction5","source5","prediction6","source6","prediction7","source7","prediction8","source8","prediction9","source9","prediction10","source10","timeToPredict","Correct"
"20","On The Lovin’ People, he has the benefit of a good backing band consisting of Pretty Purdie on drums, Artie Butler on organ & piano, and Joe Mack and Bill Salter on bass. The band, who play both loose and funky without ever sounding sloppy, helped produce a more laid back vibe and Chandler sounds more relaxed than he did on the earlier album. He has some better songs on this one, too, such as the title cut warm, poppy number about...well, “Lovin’ People,” on which the presence of a chorus (made up on the spot of people who had gathered to provide assistance to a mothers’ help organization) also helps temper Chandler’s unfortunate tendency towards over-earnestness. “The Naked Fool” is about a relationship gone bad, which doesn’t have anything new to say but will have a few toes tapping. “Sold Out, No More Reservations” is an interesting number about a male groupie, and “Bound to Fly” has a nice soaring quality, and Chandler’s lyrics and delivery mesh well on it. If anything the problem here is that Chandler is sometimes eclipsed by his backing band—check “Behind Your Eyes” where the band goes off on some nice free jazz-psychedelic tangents while Chandler seems to be trying to channel Sammy Davis, Jr.","on the lovin’ people he has the benefit of a good backing band consisting of pretty purdie on drums artie butler on piano and joe mack and bill salter on bass the band who play both loose and funky without ever",42,"sounding","ever","31B","without","32C","seen","2","caleb","2","beer","2","playing","2","cake","2","sloppy","2","to","2","in","2",0.110000000000582,FALSE
"21","I was worried I wasn’t going to like this. And not because I have an unhealthy love of comic book heroes and unrealistic expectations. No, I was worried because it seems the 98% of people I know had already seen it and enjoyed it. Even the wife. Thus, wading in with an opinion of ‘pfft…shite’ would prove about as popular as punching a kitten in the face. But in the end the fears proved unfounded as I really did like it.","i was worried i wasn’t going to like this and not because i have an unhealthy love of comic book heroes and unrealistic expectations no i was",28,"worried","worried","4","worried","31A","worried","31B","i","32C","was","31B","going","3","years","3","one","3","getting","3","looking","3",0.179999999993015,TRUE
"22","Whether you’re looking at investing in residential, commercial or industrial property, the Urban Redevelopment Authority’s (URA) area planning and guidelines will have a long-term impact on your property’s values.","whether you’re looking at investing in residential commercial or industrial property the urban redevelopment authority’s ura area planning and guidelines will have",23,"a","have","31B","will","32C","put","3","longterm","3","few","3","a","3","let","32B","claim","32B","to","3","to","32A",0.169999999998254,TRUE
"23","Thus began my frantic sprint down the corridor, pulling my reluctant suitcase as it bobbed off of anything in its path.","thus began my frantic",5,"sprint","sprint","3","frantic","31B","down","2","my","32C","sprint","2","done","21","so","21","new","21","books","21","one","21",0.0800000000017462,TRUE
"24","Other stars making the magazine’s 2011 Sexiest Women Alive list include model-turned-actress Rosie Huntington-Whiteley, jazz artist Esperanza Spalding, ‘Friends With Benefits’ star Mila Kunis, ‘The Help’ actress Emma Stone and singer Beyonce.","other stars making",4,"the","the","3","making","31B","flicks","21","the","21","making","21","chick","21","impressions","21","much","2","shopping","2","air","2",0.0700000000069849,TRUE
"25","I napped after studio class tonight. Andrew and I were up really late last night, despite going to bed at a somewhat decent time. We ended up talking to each other for about an hour and a half to two hours just about our lives and what was going on and stuff like that. It was a very nice talk, but it made me tired for today, which explains why I’m still awake now. But don’t worry…I’ll be getting to bed shortly, right after I shower.","i napped after studio class tonight andrew and i were up really",13,"late","late","4","really","51D","really","41C","up","52J","last","3","late","31A","really","42C","really","42E","still","42F","really","42F",0.239999999990687,TRUE
"26","Outsell spoke to us about the changes going on in education specifically in the development of custom textbooks.","outsell spoke to",4,"us","us","4","about","3","us","31A","us","31B","us","21","us","3","to","31B","sure","2","seen","2","ways","2",0.0800000000017462,TRUE
"27","Actually, this April 15, 1912, headline was based on preliminary news and was in error. The final tally shows that 1,513 lives were lost in the sinking of the Titanic, and there were only 711 survivors.","actually this april headline was based on preliminary news and was in error the final",16,"tally","final","41C","the","52J","final","31B","the","42F","and","3","final","32C","say","3","tally","3","shows","2","of","2",0.19999999999709,TRUE
"28","I found myself chuckling out loud enough that the wife banished me to the easy chair in the living room at night (can't read this one in bed). I'd get up to get another soft drink and find that I had a big grin on my face.","i found myself chuckling out loud enough that the wife banished me to the easy chair in the living room at night cant read this one in bed id get up to get",34,"another","get","51D","out","41B","get","41C","get","52D","get","52G","get","52I","so","4","get","42C","get","42E","to","52J",0.30000000000291,FALSE
"29","Oh yeah! Last year I was really Spicin' Things Up in the Kitchen! It was Hot Hot! Nope, the hubs and I weren't getting all romantical, we were installing tin into our cabinet for our spices! Get your heads out of the gutter!!","oh yeah last year i was really spicin things up in the kitchen it was hot hot nope the hubs and i werent getting all romantical we were installing tin into our cabinet for our spices get",38,"your","your","4","your","3","get","41C","your","31A","your","31B","get","32B","get","32C","your","21","get","31B","get","21",0.169999999998254,TRUE
"30","So …","so",2,"�","come","2","will","2","get","2","going","2","can","2","last","2","well","2","just","2","people","2","around","2",0.0100000000093132,FALSE
"31","“Hell is larger today than it was yesterday, because many of us have failed to pray.”–David Smithers","“ is larger today than it was yesterday because many of us have failed to",16,"pray”–david","to","51D","to","41C","to","31B","to","42C","to","42E","to","42F","political","21","to","32B","to","32C","failed","42F",0.209999999991851,FALSE
"32","Never Did No Wanderin' by The Folksmen","never did no wanderin by the",7,"folksmen","the","41C","the","31B","by","42F","paper","32A","the","32B","the","32C","by","32C","day","3","every","3","hands","3",0.220000000001164,FALSE
"33","Didn’t quite make church Sunday morning. Sleeping right up to check out causes a bit of a mad rush to get up and get out.","didn’t quite make church",5,"sunday","sunday","3","church","31B","god","2","requested","2","in","2","sunday","2","vocation","2","whereby","2","that","21","sure","21",0.0599999999976717,TRUE
"34","When PC came out with the ""Love You a Latte"" Lite Cartridge I knew I had to have it!","when pc came out with the love you a latte",11,"lite","lite","4","latte","51D","latte","41C","a","52J","lite","31A","latte","42C","latte","42E","came","3","latte","42F","latte","32B",0.25,TRUE
"35","hold, to not let go","hold to not let",5,"go","go","5","go","4","go","3","go","41A","go","41B","go","41C","go","31B","let","32B","go","31A","the","31A",0.190000000002328,TRUE
"36","And that is where we changed from being social beings amongst each other to digital social addicts.","and that is where",5,"we","we","5","we","4","we","41A","we","41B","changed","3","we","41C","if","41C","began","31A","we","31A","we","3",0.139999999999418,TRUE
"37","02 - It's All Over Now 04:01","its",2,"all","like","2","will","2","just","2","work","2","seems","2","good","2","separate","2","page","2","star","2","required","2",0.00999999999476131,FALSE
"38","The product is a milky white liquid that applies like emulsion, not too creamy and thick, but not like water (or jelly) either. After spreading it out on your face, it dries within a few minutes. After which the fun begins! According to the SA, after it dries, you start rubbing it like you’re trying to rub dirt off your face, until you rub off most of it. If required, wash off the remaining with lukewarm water. So I started rubbing and it actually takes quite a bit of effort to rub it all off! It comes off in little bits like you’re rubbing off a layer of your skin.","the product is a milky white liquid that applies like emulsion not too creamy and thick but not like water or jelly either after spreading it out on your face it dries within a few minutes after which the fun begins according to the sa after it dries you start rubbing it like you’re trying to rub dirt off your face until you rub off most of it if required wash off the remaining with lukewarm water so i started rubbing and it actually takes quite a bit of effort",91,"to","to","5","rub","4","to","41A","to","41B","of","52J","rub","3","to","31A","of","42F","to","4","to","3",0.210000000006403,TRUE
"39","I have mixed emotions about the start to this book. As I’ve already mentioned I very much enjoyed the characters and the voice of the protagonist. But as much as I was enjoying it, it took me a little while to get into the story. We’re presented with a huge case of insta-love right from the start. Lucas, the mysterious and hot new neighbor, comes on strong. I’m pretty sure they start making out on their second or third meeting! I’m warning you now. There’s not a lot of rationalization for the insta-love…you won’t really understand the reasons until the end of the book. Which is why, in retrospect, I kinda like that I had to wait for all of the info to be revealed.","i have mixed emotions about the start to this book",11,"as","as","4","as","3","book","41C","as","31A","this","42F","book","32B","book","32C","this","32C","time","31B","way","31B",0.19999999999709,TRUE
"40","""If I could keep you little,","if i could keep you",6,"little","you","51D","little","3","you","41C","you","31B","you","42C","you","42E","get","42F","you","42F","back","32B","you","32B",0.190000000002328,TRUE
"41","Jethro responded, “What you are doing is not good. You and these people who come to you will only wear yourselves out.” Moses was the bottleneck of a system that was broken and creating dysfunction, wasting time, and wearing everyone out.","jethro responded “what you are doing is not good you and these people who come to you will only wear yourselves out” moses was the bottleneck of a system that was broken and creating dysfunction",36,"wasting","wasting","2","creating","32C","own","21","path","21","dysfunction","21","enemies","21",NA,NA,NA,NA,NA,NA,NA,NA,0.0899999999965075,TRUE
"42","I attended more funerals before age 20 than most people, other than a pastor will attend in their lifetime. Why I was not one of them, only God can tell. He has the final say and fortunately, He now holds the pen.","i attended more funerals before age than most people other than a pastor will attend in their lifetime why i was not one of them only god can tell",30,"he","he","5","has","4","he","41A","he","41B","can","52J","he","41C","he","31A","can","42F","he","31B","tell","32B",0.220000000001164,TRUE
"43","I first came across these beautiful patterns by artist Paula Vaughan in the mid-1990s. Traditional style quilts thrown over vintage chairs, vases overflowing with armfuls of wildflowers, and the loveliest dresses from a bygone age.","i first came across these beautiful patterns by artist paula vaughan in the mids traditional style quilts thrown over vintage chairs",22,"vases","vases","3","vases","2","chairs","31B","vintage","32C","vases","21","while","21","roller","21","chairs","21",NA,NA,NA,NA,0.139999999999418,TRUE
"44","to do this in remembrance of Him. Luke 22:19","to do",3,"this","this","3","just","3","im","3","easy","3","kept","3","tomorrow","3","actual","3","step","3","damn","3","be","3",0.0500000000029104,TRUE
"45","Spanish Omelettes are delicious enough by themselves but they are lovely with salad to accompany them to add an attractive finishing touch !!!","spanish omelettes are delicious enough by themselves but they are lovely with salad to accompany them",17,"to","to","4","to","3","to","31B","to","21","culinary","32C","them","31B","add","21","away","31A","to","31A","in","31A",0.149999999994179,TRUE
"46","Caroline Saunders (Lab) 1,142","caroline saunders",3,"lab","lab","2","saunders","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0300000000133878,TRUE
"47","Len Woodbyrne & Joe O’Reilly development at95-97 Francis Street, Dublin8 (central Dublin) has a range of apartments on offer","len woodbyrne joe o’reilly development at",7,"francis","seen","21","custom","21","francis","21","program","21","age","2","end","2","day","2","time","2","corner","2","times","2",0.0999999999912689,TRUE
"48","I decided to get creative with the leftovers of the rainbow cake... instead of doing the mini cupcake rainbow I had planned. It worked out SO well and I don't think it turned out too bad.","i decided to get creative with the leftovers of the rainbow cake instead of doing the mini cupcake rainbow",20,"i","i","3","rainbow","31B","cake","32A","cupcake","32C","instead","2","had","2","i","21","planned","2","cake","2","rainbow","21",0.150000000008731,TRUE
"49","Sunday the festivities continued. I went BACK to Shadowbox to see Back to the Garden again. (Told ya I love that place). Then after that was over, I had to work at the store. It was Survivor finale night, and we do a special Survivor crop each season, so I had to go host that.","sunday the festivities continued i went back to shadowbox to see back to the garden again told ya i love that place then after",25,"that","was","3","after","31B","then","42F","then","32C","that","3","was","21","day","2","used","2","many","2","kids","2",0.179999999993015,TRUE
"50","1 Beauty Contest","beauty",2,"contest","broken","2","contest","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"51","Fox: DUDE ARE YOU FRIGGING KIDDING ME??? IF YOU DON’T DO THIS, THEN I WILL F*****G CASTRATE YOU! THEN YOU WONT HAVE TO WORRY ABOUT ANY LOVE LIFE.","fox dude are you frigging kidding me if you don’t do this then i will fg",17,"castrate","castrate","4","fg","51D","fg","41C","will","52J","you","3","castrate","31A","fg","42C","fg","42E","fg","42F","you","2",0.229999999995925,TRUE
"52","Just go away.","just go",3,"away","away","3","way","2","see","2","weeks","2","one","2","second","2","im","2","soon","2","hunt","2","labor","2",0.0299999999988358,TRUE
"53","To see all the PACA (Provence Alpes Côte d'Azur) Michelin rankings, go here:","to see all the paca provence alpes c�te dazur",10,"michelin","michelin","3","michelin","2","dazur","31B","c�te","32C","michelin","21","dazur","21",NA,NA,NA,NA,NA,NA,NA,NA,0.160000000003492,TRUE
"54","Alyssa is now 10 and has been busy with Volleyball, Girlscouts, and Sunday School. It seems like we are always running with her somewhere. She was struggling in reading in school a few months back, and was put into special reading help class; which was in turn taking time away from her math time and causing her to struggle in math; but she has now caught up with her reading, and has turned her math skills around as well. Conferences are just around the corner, and we have high hopes for her. We repainted her room for her last Birthday and gave her all new bedding and furniture. She has more things in her room, than time to play with the stuff...but what kid doesn't I guess.We don't get to see her as much as we would like to, but we cherish the time we do get with her. We have a lot of fun things planned to do with her on the weekends we have with her, let's hope we don't wear her out!","alyssa is now and has been busy with volleyball girlscouts and sunday school it seems like we are always running with her somewhere she was struggling in reading in school a few months back and was put into special reading help class which was in turn taking time away from her math time and causing her to struggle in math but she has",64,"now","now","5","now","4","has","51D","now","41A","now","41B","now","41C","now","31A","has","42C","has","42E","has","42F",0.25,TRUE
"55","The black sports coat, white button-up shirt, khaki slacks, and leather loafers he wore were all tailored and very expensive giving the impression of him being some sort of major player in the world trying to lay low and relax. It was a thought that Peter was beginning to believe more and more about himself as his sales numbers rocketed into orbit.","the black sports coat white buttonup shirt khaki slacks and leather loafers he wore were all tailored and very expensive giving",22,"the","the","3","cake","32A","cake","2","some","2","the","21","sunday","2","thought","2","impression","2","giving","21","relatively","21",0.139999999999418,TRUE
"56","The only not-so-fabulous part was that as I was getting the monkeys in the tub, I started to sneeze. And feel drippy and tickly. Sure signs of an end-of-summer cold. Bluck. I feel icky this morning, but have too much to do to be sick. So I am refusing to succumb to my desire to plop on the couch and sniff all day. I am hoping sheer will alone will heal me :)","the only notsofabulous part was that as i was getting the monkeys in the tub i started to sneeze and feel drippy and tickly sure signs of an endofsummer cold bluck i feel icky this morning but have too much to do to be sick so i am refusing to succumb to my desire",55,"to","plop","4","desire","41C","to","31A","my","42F","plop","42A","find","3","plop","3","find","2","plop","2","desire","32B",0.220000000001164,TRUE
"57","Dear Heavenly Father, I thank You for teaching me to prayer earnest, heartfelt and continued prayers. As I spend time to pray like this today, Your divine power is manifested, changes are effected, and circumstances in my life are changed, in Jesus Christ Name I pray! Amen!","dear heavenly father i thank you for teaching me to prayer earnest heartfelt and continued prayers as i spend time to pray like this",25,"today","today","4","this","41C","not","41A","today","31A","and","42D","like","42F","today","31B","this","32C","and","41A","this","31B",0.19999999999709,TRUE
"58","Last week, he was so worked up about some things that were not actually real. He laid down in his bed and kept going over and over them with me. I told him he just needed to relax, that he didn't need to worry so much. He is being so well cared for. He gave me the silent soul searching steel blue stare, softly grabbed my hand, and said, ""I'll always remember you.""","last week he was so worked up about some things that were not actually real he laid down in his bed and kept going over and over them with me i told him he just needed to relax that he didnt need to worry so much he is being so well cared for he gave me the silent soul searching steel blue stare",64,"softly","softly","3","stare","31B","blue","32C","grabbed","2","his","2","eyes","2","softly","2","orange","21","softly","21","stare","21",0.160000000003492,TRUE
"59","From Peru, we flew to Ecuador and then on to the wedding. After the celebrations, we were off to Hawaii, for a much needed relaxing beach holiday, after which we did a wonderful cruise of The Great Barrier Reef, before flying home via Singapore. What a great trip that was, and one day I’ll put some more photos up for you to see.","from peru we flew to ecuador and then on to the wedding after the celebrations we were off to hawaii for a much needed relaxing beach holiday after which we did a wonderful cruise of the great barrier reef before flying home via singapore what a great trip",49,"that","that","4","trip","41C","was","3","back","31A","that","31A","trip","32B","that","3","to","2","was","2","we","2",0.180000000007567,TRUE
"60","Here’s a great way to use both eggs and leftover noodles for a satisfying dish. Paula Super, of Merrimack, writes:","here’s a great way to use both eggs and leftover noodles for a satisfying dish paula super of merrimack",20,"writes","writes","3","writes","2","merrimack","31B","of","42F","of","32C","night","21","post","21","universe","21","great","21","favorite","21",0.159999999988941,TRUE
"61","You think your school's scary?","you think your schools",5,"scary","scary","3","schools","31B","on","2","or","2","markets","2","went","2","scary","2","this","32C","are","32C","day","32B",0.0800000000017462,TRUE
"62","Skully was struggling to breath at this point, shaking and pawing his head, gagging and his eyes reflected his fear. Poor little guy! He was also snapping his teeth, tryin' to dislodge the jerky.","skully was struggling to breath at this point shaking and pawing his head gagging and his eyes reflected his fear poor little guy he was also snapping his",29,"teeth","teeth","3","his","31B","snapping","42F","way","32A","teeth","21","ribs","21","snapping","32C","super","32C","an","32C","card","2",0.169999999998254,TRUE
"63","It's official, I made the 2012 Spellbinders team. It's been an amazing year and I am so glad that it doesn't have to end. I love this company, their products, their values, and the people who make Spellbinders what it is.","its official i made the spellbinders team its been an amazing",12,"year","year","4","amazing","41C","year","31A","an","42F","year","31B","and","3","amazing","32B","amazing","31B","year","3","bunch","3",0.190000000002328,TRUE
"64","And the paint. I have read every blog and article on the web that discusses painting cabinets and I tried something completely different from what I had read. Have you seen those commercials for Behr ""He is painting while he primes. She is priming while she paints?"" I went for the premium primer included stuff from Home Depot. The black color is Behr Beluga. I painted 3 coats, sanding lightly between each one. I didn't remove the doors but I easily could (and probably should) have. I decided to distress them. This my husband wasn't too thrilled about but I know how my kids and their stool had already distressed them over the years so I figured I would save myself the headache and heartache and have them start distressed. I hit it several places with the sander and then used a darker tinted glaze (some watered down acrylic craft paint) over the sanded spots to darken up the distressed areas.","and the paint i have read every blog and article on the web that discusses painting cabinets and i tried something completely different from what i had read",29,"have","have","5","read","51D","you","4","have","41A","have","41B","you","3","read","42C","read","42E","read","42F","told","41C",0.279999999998836,TRUE
"65","I’m pretty late to the LCD Soundsystem party (a great oversight on my part), but thankfully rectified with Mr James Murphy’s third (and final?) outing of liquid crystal disco. It sounds effortlessly cool, but there’s so much going on, it’s just plain fun to listen to, dance to and do just about anything to – be it the washing up, filling out an application form or being attacked by PANDUHS!","i’m pretty late to the lcd soundsystem party a great oversight on my part",15,"but","but","4","but","3","part","41C","of","31A","but","31A","part","32B","part","32C","my","32C","the","2","bosses","31B",0.190000000002328,TRUE
"66","Furioso dreadnought","furioso",2,"dreadnought","dreadnought","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00999999999476131,TRUE
"67","6. Meyerman - Who Do You Think You Are?","meyerman",2,"who","do","2","think","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0200000000040745,FALSE
"68","I'm in the process of building out an entire enchanted forest in one inch scale as part of my set for the Myrtle short film. Trees complete with faces and jelly jars hanging from the branches filled with fireflies / will o' the wisps. It's starting to look pretty good and I'm pleased with how the glass jars light up. They're all hand-blown glass and less than 1 cm in height. So like me, this project is pretty teeny.","im in the process of building out an entire enchanted forest in one inch scale as part of my set for the myrtle short film trees complete with faces and jelly jars hanging from the branches filled with fireflies will o",42,"the","the","4","wisps","3","the","31A","the","31B","will","32C","the","3","wisps","2","he","2","o","31B","shop","2",0.119999999995343,TRUE
"69","Adapted from Laurie and Sharon's book Mom...And Loving It!","adapted from",3,"laurie","laurie","3","laurie","21","point","2","french","2","local","2","rather","2","rattles","2","affluent","2","fact","2","main","2",0.0600000000122236,TRUE
"70","Simon Field / five from Gordon Belgrave / 57-61","simon",2,"field","along","2","five","2","field","2","schuster","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0199999999895226,TRUE
"71","Our system is broken. Government serves the interest of big business and big business only serves the interest of a very few, wealthy elites. It’s time to make our economy and our politics work for working people.","our system is broken government serves the interest of big business and big business only serves the interest of a very few",23,"wealthy","wealthy","4","few","41C","very","42F","i","3","seconds","32A","few","32B","people","3","closed","3","wealthy","3","day","31B",0.200000000011642,TRUE
