"","origLine","wordsToPredictBy","wordNoToTest","testWord","prediction1","source1","prediction2","source2","prediction3","source3","prediction4","source4","timeToPredict","Correct"
"29","Even if you don’t like the so called “screwball comedy”, that some critic also called “sex comedy without sex”, whose Trouble in Paradise gives a perfect example, you could enjoy two things from this movie: the typical Art Deco interior design (in Mme Colet house) and the beautiful gowns designed by Travis Banton (one of the most famous 1930 costume Designer) that show at its best this period style.","even if you don’t like the so called “screwball comedy” that some critic also called “sex comedy without sex” whose trouble in paradise gives a perfect example you could enjoy two things from this movie the typical art deco interior design in mme colet house and the beautiful gowns designed by travis banton one of the most famous costume",60,"designer","famous","42F","for","31B","costume","31B","by","32A",0.25,FALSE
"30","Never Did No Wanderin' by The Folksmen","never did no wanderin by the",7,"folksmen","the","41C","the","31B","by","42F","paper","32A",0.220000000001164,FALSE
"31","“Yes,” he said. “Maybe a puppet, or a special toy, or maybe just a stuffed animal you loved very much. Did you have a special friend like that, Tom?”","“yes” he said “maybe a puppet or a special toy or maybe just a stuffed animal you loved very much did you have a",25,"special","a","51D","lot","4","little","41A","a","41C",0.330000000001746,FALSE
"32","You die?","you",2,"die","be","2","i","2","borrow","2","the","2",0.0199999999967986,FALSE
"33","Outfit Specs: Click piccy to be taken to it's flickr page for more information.","outfit specs click",4,"piccy","to","3","click","31B","to","2","piccy","3",0.0900000000037835,TRUE
"34","How can you start your day any other way than happy with that face wanting to cuddle with you first thing?","how can you start your day any other way than happy",12,"with","with","4","happy","41C","that","3","with","31A",0.279999999998836,TRUE
"35","hold, to not let go","hold to not let",5,"go","go","5","go","41A","go","41B","go","41C",0.239999999997963,TRUE
"36","Origin: Middle English: from Old French joie, based on Latin gaudium, from gaudere ‘rejoice’","origin middle english from",5,"old","old","3","from","31B","old","21","start","2",0.0900000000037835,TRUE
"37","And that is where we changed from being social beings amongst each other to digital social addicts.","and that",3,"is","a","3","is","3","will","3","am","3",0.0499999999956344,TRUE
"38","Whew, there is much talk lately about rising fares due to increased fuel surcharges.","whew there is much talk lately about rising fares due to",12,"increased","to","41C","to","31B","to","32B","nature","3",0.25,FALSE
"39","02 - It's All Over Now 04:01","its",2,"all","cool","2","worse","2","of","2","the","2",0.0100000000020373,FALSE
"40","""If I could keep you little,","if i could keep you",6,"little","you","51D","little","3","you","41C","you","31B",0.25,TRUE
"41","Jethro responded, “What you are doing is not good. You and these people who come to you will only wear yourselves out.” Moses was the bottleneck of a system that was broken and creating dysfunction, wasting time, and wearing everyone out.","jethro responded “what you are doing is not good you and these people who come to you will only wear yourselves out” moses was the bottleneck of a system that was broken and creating dysfunction",36,"wasting","wasting","2","creating","32C","own","21","path","21",0.159999999996217,TRUE
"42","I first came across these beautiful patterns by artist Paula Vaughan in the mid-1990s. Traditional style quilts thrown over vintage chairs, vases overflowing with armfuls of wildflowers, and the loveliest dresses from a bygone age.","i first came across these beautiful patterns by artist paula vaughan in the mids traditional style quilts thrown over vintage chairs vases overflowing with armfuls",26,"of","of","3","wildflowers","2","look","21","vintage","21",0.150000000001455,TRUE
"43","to do this in remembrance of Him. Luke 22:19","to do this in remembrance",6,"of","of","3","own","41C","other","42E","him","2",0.25,TRUE
"44","I think I did three sets of revisions in the end. The first involved clarifying the plot. I kept moving away from the main thread and rambling in different directions. Once I’d mastered that I had to switch some chapters round and cut some bits out then work a little on the dialogue. Plotting has been the most difficult part of writing so far. But through writing Shine, I studied plot hard, learned a lot and with my second book, Glitter, due out on Sept. 2nd, I had one small amount of editing to do. I kept waiting for Rachel to send the MS back with more to do when I discovered it was already with the copyeditor!","i think i did three sets of revisions in the end the first involved clarifying the plot i kept moving away from the main thread and rambling",28,"in","in","3","different","2","rambling","31B","and","42F",0.220000000001164,TRUE
"45","Caroline Saunders (Lab) 1,142","caroline saunders",3,"lab","lab","2","saunders","21",NA,NA,NA,NA,0.069999999999709,TRUE
"46","Use a pan or kettle to capture the water you run while waiting for warm water to arrive at the faucet. The captured water can be used for other washing purposes.","use a pan or kettle to capture the water you run while waiting for warm water to arrive at the faucet the captured water can be used",28,"for","used","41C","many","4","so","31A","for","31A",0.279999999998836,TRUE
"47","Len Woodbyrne & Joe O’Reilly development at95-97 Francis Street, Dublin8 (central Dublin) has a range of apartments on offer","len woodbyrne joe o’reilly development at",7,"francis","first","21","seen","21","program","21","francis","21",0.150000000001455,TRUE
"48","This stuff is actually happening. It’s threatening our survival. And it’s not just the environment. And I’m writing it to know that, among the peaceful: you are not crazy for thinking that we are approaching a turning point in our country where the realities of decades of profit-over-all-else mentality are becoming not just undeniable, but are confronting us in our day to day lives in ways we did not think was possible in a country that now seems, in retrospect, to have been the least Western, least democratically-minded country to be considered so. And that turning point might require widespread civil disobedience, in the name of the environmental and economic survival of our country and our people (as well, of course, as the vast masses like us all around the world, in other countries).","this stuff is actually happening it’s threatening our survival and it’s not just the environment and i’m writing it to know that among the peaceful you are not crazy for thinking that we are approaching a turning point in our country where the realities of decades of profitoverallelse mentality are becoming not just undeniable but are confronting us in our day to day lives in ways we did not",70,"think","not","51D","was","4","not","41C","did","52J",0.279999999998836,FALSE
"49","There came a point, maybe three years into that, where I began to realise I'd have to have another go at a novel. Giant Thief didn't originate with any one story, but it did come out of not wanting to make the mistakes I'd made with my first attempt at novel writing. I was writing one or two short stories a month, and I didn't want to lose that pace. So it had to be something fast-paced, fun, not too convoluted. Something I could throw myself into and just keep moving with.","there came a point maybe three years into that where i began to realise id have to have another go at a novel giant thief didnt originate with any one story but it did come out of not wanting to",41,"make","think","41B","to","41C","make","4","read","4",0.30000000000291,TRUE
"50","I decided to get creative with the leftovers of the rainbow cake... instead of doing the mini cupcake rainbow I had planned. It worked out SO well and I don't think it turned out too bad.","i decided to get creative with the leftovers of the rainbow cake instead of doing the mini cupcake rainbow i had",22,"planned","had","31B","i","32C","to","3","a","3",0.220000000001164,FALSE
"51","At the back of the shop there is a little cafe which is the pretence of this post- the menu is pretty simple, just fry ups (£3.50) sandwiches (around £1.50) and jacket potatoes (around £2). I had a tuna mayo salad and a latte which came to a grand total of £3.50.","at the back of the shop there is a little cafe which is the pretence of this post the menu is pretty simple just fry ups � sandwiches around � and jacket potatoes around � i had a",39,"tuna","decision","4","grin","4","class","4","mayo","4",0.189999999995052,FALSE
"52","anyway, i digress. we’ve got a bed, a sofa, a washing machine – all the important things, really. and the furniture for the baby room comes tomorrow morning. which is good since come next week, i could literally go into labor at any moment. though, i really hope he’ll wait for a little bit. a couple weeks at least. we’re not quite ready yet (though not sure if we will be in a few weeks, either).","anyway i digress we’ve got a bed a sofa a washing machine – all the important things really and the furniture for the baby room comes tomorrow morning which is good since come next week i could literally go into labor at any moment though i really hope he’ll wait for",52,"a","of","3","you","3","little","3","market","3",0.17000000000553,FALSE
"53","I wrote you a love haiku","i wrote",3,"you","a","3","novel","3","hounds","3","a","2",0.0599999999976717,FALSE
"54","Fox: DUDE ARE YOU FRIGGING KIDDING ME??? IF YOU DON’T DO THIS, THEN I WILL F*****G CASTRATE YOU! THEN YOU WONT HAVE TO WORRY ABOUT ANY LOVE LIFE.","fox dude are you frigging kidding me if you don’t",11,"do","you","42F","i","32C","you","32C","like","31B",0.169999999998254,FALSE
"55","In reporting on activities to Chloe, I invented the chick-flick scale, my very own movie rating system. Instead of stars, chick flicks get 1 to 4 hearts (of course). Here are mini reviews of the movies I've watched this past week or so.","in reporting on activities to chloe i invented the chickflick scale my very own movie rating system instead of stars chick flicks get to hearts of course here are mini",31,"reviews","mini","41C","of","3","are","42F","a","31B",0.239999999997963,FALSE
"56","Dear Heavenly Father, I thank You for teaching me to prayer earnest, heartfelt and continued prayers. As I spend time to pray like this today, Your divine power is manifested, changes are effected, and circumstances in my life are changed, in Jesus Christ Name I pray! Amen!","dear heavenly father i thank you for teaching me to prayer earnest heartfelt and continued prayers as i spend time to pray like this",25,"today","today","4","this","41C","not","41A","today","31A",0.260000000002037,TRUE
"57","Last week, he was so worked up about some things that were not actually real. He laid down in his bed and kept going over and over them with me. I told him he just needed to relax, that he didn't need to worry so much. He is being so well cared for. He gave me the silent soul searching steel blue stare, softly grabbed my hand, and said, ""I'll always remember you.""","last week he was so worked up about some things that were not actually real he laid down in his bed and kept going over and over them with me i told him he just needed to relax that he didnt need to worry so much he is being so well cared for he gave me the silent soul searching steel blue stare",64,"softly","softly","3","stare","31B","blue","32C","his","2",0.239999999997963,TRUE
"58","From Peru, we flew to Ecuador and then on to the wedding. After the celebrations, we were off to Hawaii, for a much needed relaxing beach holiday, after which we did a wonderful cruise of The Great Barrier Reef, before flying home via Singapore. What a great trip that was, and one day I’ll put some more photos up for you to see.","from peru we flew to ecuador and then on to the wedding after the celebrations we were off to hawaii for a much needed relaxing beach holiday after which we did a wonderful cruise of the great barrier reef before flying home via singapore what a great trip",49,"that","that","4","trip","41C","was","3","that","31A",0.280000000006112,TRUE
"59","The company are introducing an internal ‘carbon price’ to encourage their individual business arms to become more responsible for the costs of offsetting their emissions.","the company are introducing an internal ‘carbon price’ to encourage their individual business arms to become more responsible for the costs of offsetting their",25,"emissions","their","31B","emissions","21","louis","31A","dreams","31A",0.189999999995052,TRUE
"60","& Kalabokisio (Corn Puree)","kalabokisio corn",3,"puree","corn","21","even","2","salsa","2","puree","2",0.0400000000008731,TRUE
"61","Often I think she doesn't even hear the words. She just gets up and invites the music to take over her body.","often i think she doesnt even hear the words she just gets up and invites the music to",19,"take","take","4","get","51C","to","41C","over","3",0.290000000000873,TRUE
"62","3/4 C Dairy Free, Soy-Free Vegetable Shortening (we use Spectrum)","c dairy free",4,"soyfree","soyfree","4","soyfree","3","soyfree","31A","soyfree","31B",0.139999999999418,TRUE
"63","The message of Journey of the Universe shows how we are not just a part of this astonishing process, we are at the very edge of evolution, a primate species that has found in its language and symbols the power to take over the very evolutionary process itself. But this control that we now exercise comes with a responsibility; and viewers of Journey of the Universe will not only be imbued with a sense of astonishment at all that has taken place, they will also come to feel the excitement in learning that now we live in a time when the human species is being asked to play a central role in activating the flourishing powers of Earth’s living systems.","the message of journey of the universe shows how we are not just a part of this astonishing process we are",22,"at","at","4","at","31A","at","31B","are","31B",0.180000000000291,TRUE
"64","They are both chunky knits and were a complete bargain-the green was £1 and the multi colour knit was £2!! The charity shops have now started putting out their winter stocks so using these knits as inspiration, why don't you go and hunt down a stylish cosy bargain for much less than the high street or designer versions?","they are both chunky knits and were a complete bargainthe green was",13,"�","was","31B","over","21","by","21","light","21",0.190000000002328,FALSE
"65","Freddie did spend some time in Vietnam too; I think he told us he used to make maps there. But we never pushed it because who knew if he would “Freak out” about it. And Freddie knew just about everything you know, politics, art, religion, history, philosophy, and most important, Brooklyn.","freddie",2,"did","just","2","knew","2","spend","2",NA,NA,0.0199999999967986,FALSE
"66","And the paint. I have read every blog and article on the web that discusses painting cabinets and I tried something completely different from what I had read. Have you seen those commercials for Behr ""He is painting while he primes. She is priming while she paints?"" I went for the premium primer included stuff from Home Depot. The black color is Behr Beluga. I painted 3 coats, sanding lightly between each one. I didn't remove the doors but I easily could (and probably should) have. I decided to distress them. This my husband wasn't too thrilled about but I know how my kids and their stool had already distressed them over the years so I figured I would save myself the headache and heartache and have them start distressed. I hit it several places with the sander and then used a darker tinted glaze (some watered down acrylic craft paint) over the sanded spots to darken up the distressed areas.","and the paint i have read every blog and article on the web that discusses painting cabinets and i tried something completely different from what i had read have you seen those commercials for behr he is painting while he primes she is priming while she paints i went for the premium primer included stuff from home depot the black color is behr beluga i painted coats sanding lightly between each one i didnt remove the doors but i easily could and probably should",85,"have","have","3","not","31A","in","31B","probably","32C",0.25,TRUE
"67","I was walking back from my girlfriend’s house through Park South, a notoriously run-down area of Swindon, riddled with unemployment, anti-social behaviour and crime. It’s not the area of Swindon I normally associate with a ‘passion for politics’, but as I crossed the water logged field I saw a purple and yellow glow from a window. ‘VOTE UKIP’. Wait, what? – This took me by surprise, Park South has always been a Labour stronghold, we have all seen it in the media that the ‘smaller’ parties are going to do well tomorrow, but this really hit home for me. It’s bitter-sweet.","i was walking back from my girlfriend’s house through park south a notoriously rundown area of swindon riddled with",20,"unemployment","with","31B","i","42F","unemployment","21","i","32C",0.220000000001164,TRUE
"68","Adapted from Laurie and Sharon's book Mom...And Loving It!","adapted from",3,"laurie","laurie","3","laurie","21","start","2","of","2",0.0599999999976717,TRUE
"69","Simon Field / five from Gordon Belgrave / 57-61","simon field five",4,"from","from","3","five","31B","of","2","i","2",0.110000000000582,TRUE
"70","Due to the nature of my job (raising children) I find my cleaning standards have slipped somewhat. After a day spent washing up, sweeping food off the kitchen floor, wiping all the surfaces, picking up toys and random objects up off every floor in the house, cooking, looking after my kids, making beds, and hanging washing out, seventeen times over, I have no remaining energy to do any actual cleaning.","due",2,"to","the","2","on","2","nature","2","sept","2",0.0299999999988358,FALSE
"71","Now I feel that I wasted my life, how I repent","now i feel that",5,"i","i","5","wasted","4","i","41A","i","41B",0.230000000003201,TRUE
"72","This time FVK provides brilliant material soundwise and musicwise. This is still weird narcotic hard core punk delivered with conviction and energy, probably their best recording so far.","this time fvk provides",5,"brilliant","provides","31B","provides","21","and","2","something","2",0.129999999997381,FALSE
"73","I've got to admit that I didn't know the Norfolk Broads was water, for some reason I just imagined it being fields. We learned little bits about it along the way, like they're man-made, but I did a bit more research here and have learned that the Broads is now the UK's largest nationally protected wetland. They are a man-made creation, formed when people dug for peat! Who knew?","ive",2,"got","got","2","lot","2","made","2","the","2",0,TRUE
"74","The wisdom of the world is still foolish today. One of the great discussion topics of our age is how we get to heaven. The pervasive world view is that everybody will get there some day depending on what you’re looking for. The world’s view claims it doesn’t matter which path you follow to get there. Many in the world’s intellectual and scientific communities believe heaven and hell don’t even exist. We who are being saved, however, know that Jesus would not have gone to the cross if He did not know there was something beyond this world. Those of us who are being saved also know human wisdom costs a person everything, but Godly wisdom affords us everything.","the wisdom of the world is still foolish today one of the great discussion topics of our age is how we get to",24,"heaven","heaven","5","to","51D","the","4","heaven","41B",0.389999999999418,TRUE
"75","i really liked this outfit because it was comfortable and good for running errands but still had that touch of style and fashion with it.","i really liked this outfit because it was comfortable and good for running errands but still",17,"had","that","3","still","31B","but","32C","had","3",0.17000000000553,TRUE
"76","2010.08.27 Iraq Shurqat 3 3 A suspected al-Qaeda attack leaves three dead.","iraq shurqat a suspected alqaeda attack leaves three",9,"dead","dead","3","three","31B","days","2","the","21",0.189999999995052,TRUE
"77","First, choose your background colour or paper. For my card, I chose a Robins Egg paper from Echo Park's Springtime Paper Pack No 1. Resize the paper according to the size of your project, then import your digital stamp:","first choose your background colour or paper for my card i chose a",14,"robins","a","51D","egg","4","a","41C","chose","52J",0.310000000004948,FALSE
"78","This blog, prior to any changes","this blog prior to any",6,"changes","changes","4","any","41C","changes","31A","to","42F",0.189999999995052,TRUE
"79","Of course, there’s a moral to this tale ~ a little piece of wisdom that you can apply to your own stay in the transitional zone of Veterans Campus. And that moral is: if you don’t like the roommate you got now, don’t worry. Be happy. You’ll get along just fine, sooner or later, like Davy Crockett & Paragon did ~ Paragon, that poor old rattlesnake with the negative aura so thick around him that it was downright impossible for him to see through it.","of course there’s a moral to this tale a little piece",12,"of","of","4","of","3","piece","41C","little","42F",0.290000000000873,TRUE
"80","The sun which changed to snow over night left residents unprepared with how to get to work and doing there day to day things.","the sun which changed to snow over night left residents unprepared with how to get to work and doing there",21,"day","day","4","there","41C","to","3","doing","42F",0.270000000004075,TRUE
"81","Sour cream for garnish","sour",2,"cream","for","2","and","2","cream","2","semisolid","2",0.0299999999988358,TRUE
"82","Baby Don't Tear My Clothes by The Raunch Hands","baby dont",3,"tear","my","3","tear","3","know","2","the","21",0.0499999999956344,TRUE
"83","Today I’ve been thinking about sentences and how to mangle them.","today i’ve been thinking about sentences and",8,"how","to","3","and","31B","how","3","to","31A",0.200000000004366,TRUE
"84","Mr. Requiro has soloed with the Tokyo Philharmonic, National Symphony Orchestra, Seattle Symphony, and and other orchestras across the U.S. His Carnegie Hall debut recital at Weill Hall was followed by a critically acclaimed San Francisco Performances recital at the Herbst Theatre. Soon after making his Kennedy Center debut, Mr. Requiro also completed the cycle of Beethoven’s Sonatas for Piano and Cello at the Phillips Collection in Washington, D.C. Actively involved in contemporary music, he has collaborated with composers Krzysztof Penderecki and Bright Sheng and most recently gave the Dutch premier of Pierre Jalbert’s Sonata for cello and piano at the 2010 Amsterdam Cello Biennale.","mr requiro has soloed with the tokyo philharmonic national symphony orchestra seattle symphony and and",16,"other","and","31A","and","31B","and","32C","the","3",0.220000000001164,FALSE
